937 910
367 376 718
179 753 -890
446 899 -336
643 723 847
504 310 102
905 210 -406
503 742 171
753 250 -602
78 193 735
74 478 -571
504 11 666
865 46 -267
268 735 125
135 697 -747
862 860 233
309 828 72
700 7 -957
26 34 483
530 651 -706
471 381 -434
408 817 -152
455 894 287
677 724 598
152 472 -875
28 836 -457
741 615 488
387 418 -482
898 542 -146
406 229 724
37 167 -559
93 121 -146
617 50 726
410 639 604
139 566 469
296 501 -19
575 873 -171
573 707 24
248 37 508
395 409 924
797 549 -163
826 630 292
417 783 -653
168 287 514
492 351 632
406 917 -689
884 337 -53
326 910 -923
53 562 -208
899 85 -90
11 345 -609
335 675 -647
276 741 856
690 250 172
677 804 -263
810 9 444
2 92 923
175 239 121
807 332 83
103 753 -719
491 329 487
197 894 350
363 88 420
201 388 557
443 55 948
468 528 -604
745 171 227
606 202 271
399 193 -244
247 64 -598
433 529 -492
863 689 -568
560 119 -308
638 767 376
799 255 696
650 888 -571
367 146 -5
406 776 -924
709 324 507
465 682 -331
254 619 -675
813 362 -860
31 237 -753
89 329 -977
434 690 799
870 806 497
720 881 312
882 667 -157
579 639 -799
231 872 -329
542 547 120
184 675 829
611 816 -467
19 782 -566
310 33 -72
139 852 990
771 595 -671
341 21 -193
600 712 194
873 656 -569
929 458 -250
794 740 505
691 480 911
85 133 469
88 405 -106
868 820 -858
542 672 950
930 66 213
357 373 -211
167 676 -94
343 242 -727
916 932 -448
183 765 -716
880 132 -855
617 619 -201
137 474 -346
480 748 998
868 21 348
876 929 129
397 467 -151
54 653 -596
479 237 -313
219 224 918
860 543 295
836 182 283
936 54 -34
54 720 -817
176 788 166
264 242 948
251 722 953
256 662 116
933 705 -965
203 775 -831
296 540 -776
793 656 787
628 469 -280
89 637 882
199 146 -614
541 697 -162
135 552 -252
103 63 -58
319 125 -711
211 36 -175
113 719 863
547 791 -250
662 130 182
725 166 -606
904 312 -343
48 697 -59
600 783 -643
859 910 -601
697 259 -208
768 933 508
182 869 -166
772 364 784
594 439 278
261 580 854
534 635 -452
45 50 -579
279 208 -822
765 168 157
193 685 599
152 646 -859
93 108 206
862 195 -358
222 438 485
296 332 -808
163 665 90
353 881 -389
124 449 -43
205 208 -823
820 758 847
77 623 506
78 807 -280
600 252 353
297 768 973
317 576 184
460 704 -170
904 844 696
589 882 -923
590 523 -634
808 218 -212
502 453 868
875 308 986
514 188 57
444 341 -180
204 746 -417
470 560 -663
471 762 529
65 128 -524
508 811 -86
794 789 755
721 898 -466
139 137 56
181 664 -464
242 779 -856
567 569 509
337 848 940
332 579 -843
424 197 -461
623 529 205
526 571 813
400 111 903
919 37 -426
615 210 -826
417 520 -375
247 151 687
98 379 -167
587 594 -338
709 692 528
47 640 580
146 565 117
890 155 -974
651 796 344
468 440 -422
135 230 -79
658 579 680
713 616 -968
116 579 -737
901 494 -536
276 562 -462
568 551 -328
116 183 -697
291 64 -305
748 52 -911
263 717 499
140 93 929
646 218 -665
516 159 -662
106 36 389
214 628 182
193 338 353
145 315 424
72 298 103
597 54 133
386 774 -789
165 935 -619
156 95 732
367 567 -327
33 368 744
586 654 254
307 778 -227
344 134 -672
907 179 -593
157 862 123
678 377 274
413 554 712
381 25 772
243 678 -323
217 236 74
377 632 -312
916 220 971
7 933 4
467 698 -816
338 799 870
165 327 -485
902 686 41
127 856 587
697 576 464
516 185 157
159 869 108
389 198 -194
664 535 894
875 141 -397
929 782 726
324 785 202
901 348 -621
526 607 -586
711 495 -809
409 7 -546
765 200 -814
180 629 658
912 498 -624
91 456 -496
274 750 969
510 758 -35
615 488 272
558 588 5
481 185 773
148 789 -995
236 755 522
510 507 979
677 120 -484
3 883 -248
932 689 225
787 657 987
496 815 102
868 250 10
1 299 491
902 801 372
419 280 677
127 613 107
553 346 -566
563 778 -150
156 728 972
772 274 96
124 373 420
145 152 -73
13 727 72
574 380 569
737 268 -948
600 582 910
37 714 -219
682 303 -101
268 529 372
372 398 379
670 579 575
261 899 238
404 69 -166
659 662 -751
816 604 22
59 737 -85
433 703 -615
558 550 -373
44 897 -585
856 683 -985
785 876 -883
652 576 -389
491 857 -221
428 513 431
368 694 583
373 391 -908
635 880 -255
201 806 723
724 843 -48
481 43 27
619 372 527
585 906 391
840 160 884
361 400 395
151 761 150
25 121 75
681 176 779
533 418 398
11 552 872
480 418 511
907 715 -271
784 620 344
373 67 -316
33 832 -1
565 687 11
593 729 -96
647 341 -689
58 932 -283
887 19 -456
76 284 -819
444 172 -843
930 710 31
746 278 -624
651 590 -574
233 205 790
211 503 -681
398 604 58
408 541 866
805 878 322
874 187 637
684 127 106
924 739 785
477 690 273
556 848 354
219 913 -713
490 27 187
179 37 -161
808 307 -540
52 660 471
553 849 181
658 552 -937
704 822 -134
52 917 -43
788 7 -978
75 619 498
610 429 -200
684 404 -561
677 540 565
590 467 198
508 574 -964
462 625 272
442 14 -217
411 91 102
477 286 149
34 185 512
622 313 -740
161 775 937
597 375 474
825 921 -582
710 435 -14
249 140 920
110 556 -74
158 64 -200
769 175 -83
914 779 637
836 925 642
11 930 57
530 634 165
785 271 430
260 12 181
468 641 -606
477 84 -251
410 212 373
523 325 -866
713 315 597
268 539 -186
534 312 -65
835 45 167
825 512 -751
810 885 340
18 636 -39
673 378 -732
579 429 944
800 835 -973
842 470 138
742 187 -687
160 227 676
527 889 -458
155 31 529
21 675 618
866 556 33
646 735 919
809 411 737
424 62 527
245 355 420
804 639 -556
165 918 -417
493 567 -771
263 76 -848
597 668 180
125 691 583
533 836 -637
93 344 -506
510 794 714
728 636 377
638 843 562
734 524 621
907 883 -507
617 867 930
794 447 28
473 710 -289
68 622 961
294 612 -494
867 572 930
909 486 -163
736 649 956
859 497 772
192 196 -365
147 193 912
896 44 -674
833 61 -319
398 711 94
810 577 712
714 414 -46
907 5 407
595 670 -344
35 669 -625
260 526 507
894 106 -734
589 665 -832
788 503 755
521 791 -408
609 313 851
298 581 395
372 819 -474
198 327 -101
30 231 -496
179 212 -16
268 435 397
429 49 132
828 284 -561
316 292 571
229 831 673
271 279 -710
401 102 -571
710 138 817
923 484 -736
632 835 586
30 500 602
531 530 -641
174 168 -473
405 13 -326
509 695 406
21 744 734
165 383 -628
516 436 501
372 646 305
19 399 371
569 533 -736
818 628 -315
451 846 -323
575 242 156
777 830 819
200 753 310
466 887 -955
641 729 -97
525 483 -665
762 785 485
694 922 576
29 604 400
500 403 -702
54 65 -976
523 630 -705
870 90 663
259 43 143
559 362 -189
36 119 327
906 31 -614
293 285 7
81 570 -612
891 765 128
174 849 -104
18 266 -917
778 471 422
807 369 854
515 237 -401
766 876 598
512 50 265
132 704 -929
645 732 592
405 97 474
40 768 695
352 605 -253
433 380 660
145 234 441
612 863 170
368 240 -816
711 271 635
192 510 -184
679 514 -971
256 417 -28
889 45 407
66 904 77
822 610 -822
356 810 313
372 613 -174
393 39 538
904 119 81
554 104 216
547 850 621
663 764 -938
686 627 -823
263 324 520
394 652 -148
684 613 -185
501 456 170
620 330 896
696 887 -252
808 222 962
133 695 -742
725 903 -349
906 127 295
493 739 -3
700 246 -924
482 609 325
54 647 -388
2 187 -982
827 448 496
595 317 447
83 519 -825
486 585 956
318 312 -858
247 324 -957
305 884 698
467 631 -866
101 137 538
217 738 -290
256 571 -569
607 789 -452
666 406 -651
136 566 -588
923 109 636
654 432 521
776 783 811
397 307 939
450 220 -748
245 545 -106
702 26 -826
752 97 126
736 571 719
734 860 -614
559 50 43
827 85 738
399 516 -389
696 90 -770
109 830 126
495 329 -290
588 794 -385
59 740 -153
444 756 854
73 302 -409
587 705 229
721 503 220
5 626 417
133 774 -326
41 666 88
758 920 -251
770 312 140
802 797 239
504 801 48
27 835 -715
423 201 -366
304 197 834
390 240 -193
507 769 675
77 897 -250
80 817 -597
774 568 62
731 637 -877
586 802 -316
44 797 165
813 165 -315
519 843 -577
801 534 68
348 803 520
608 820 358
289 846 688
295 143 -998
535 395 -68
225 457 -335
852 338 -629
332 562 -287
274 607 -562
774 641 460
289 797 -99
251 230 331
876 337 567
471 460 82
617 790 -261
602 745 928
522 397 -833
443 700 -537
145 567 19
565 287 -783
252 190 -628
887 322 611
467 238 -802
639 532 231
739 716 -154
179 639 597
245 647 -407
218 203 -297
151 619 748
605 799 559
358 60 18
21 215 929
322 853 598
908 828 -930
840 255 86
456 834 -854
296 840 397
488 620 865
276 418 -461
782 583 841
862 380 502
555 596 -340
695 805 -424
811 653 -586
576 712 -340
265 341 -593
422 84 -592
163 114 -763
390 763 817
857 694 -368
631 690 -949
821 221 363
738 929 -903
463 460 -531
438 915 375
715 826 -158
231 663 -483
350 173 -178
28 572 670
80 169 -770
448 24 372
318 421 64
396 125 901
488 598 -33
719 306 543
851 662 -119
370 364 319
181 921 203
308 814 -88
153 921 -31
677 209 771
271 609 243
551 215 -606
528 645 731
716 659 834
653 551 -748
5 838 -630
523 804 852
521 928 -28
728 201 -27
27 157 954
664 649 -376
465 811 -159
238 414 -642
599 176 847
241 868 -748
265 384 -43
362 483 564
751 920 -329
915 213 694
367 677 -868
199 907 -828
572 18 298
681 192 516
886 228 704
829 498 -459
316 95 -260
688 577 420
53 314 -412
288 829 -830
213 753 840
97 743 192
153 531 -499
186 180 865
696 213 627
178 53 -76
60 805 329
436 271 -37
379 82 -334
440 271 -943
823 81 -650
42 855 27
202 488 751
312 472 215
254 743 -861
297 30 802
754 863 711
769 662 -11
803 761 998
441 491 -262
368 697 -976
494 164 486
42 936 871
593 444 663
716 392 251
850 417 -402
692 662 -538
269 225 796
423 453 -49
367 133 -753
66 691 -559
253 921 311
205 327 -464
783 915 -885
431 779 -279
15 170 -627
587 44 -100
412 549 -34
325 93 -463
561 42 -460
102 698 223
231 915 513
132 306 900
238 233 -979
389 564 -735
475 252 -366
104 470 540
208 45 -237
329 716 -853
881 865 -175
201 513 184
405 680 345
722 542 -108
672 916 -920
891 725 560
90 709 -119
568 99 180
54 520 290
359 99 -203
743 771 -542
