853 2635
69 724 322
669 702 990
659 840 747
279 238 258
661 401 321
310 471 670
182 271 893
613 795 300
178 291 770
59 153 97
490 805 794
550 496 193
686 340 231
571 609 133
397 301 191
188 677 333
510 509 961
142 261 955
705 248 966
112 487 90
307 95 785
119 460 209
12 356 517
312 557 171
72 405 805
641 78 619
613 259 280
601 768 516
503 44 473
472 96 335
568 136 828
296 243 800
316 159 782
618 202 220
346 590 842
86 557 157
435 853 992
795 106 547
173 479 359
193 676 153
481 267 849
777 504 546
71 407 246
401 274 746
850 449 190
630 681 30
26 128 150
730 768 337
540 274 941
253 605 470
653 504 229
345 798 646
21 489 201
695 551 722
454 507 882
739 62 697
682 637 491
789 656 61
270 804 949
223 287 447
576 512 298
637 436 680
573 338 491
456 4 726
469 23 691
469 758 419
414 144 523
282 715 122
168 20 571
226 755 531
207 432 114
567 369 28
350 479 559
712 21 124
686 84 263
681 483 760
270 428 995
105 295 83
279 832 46
653 657 531
15 623 412
745 78 720
119 577 657
37 210 844
331 286 579
108 603 300
676 476 145
453 291 167
604 756 444
19 240 201
303 209 152
234 439 890
848 502 452
701 374 190
484 123 723
728 17 859
307 452 986
43 458 875
117 733 178
21 414 46
554 64 582
78 814 211
786 198 196
280 649 536
603 626 217
396 78 11
401 280 386
676 457 779
531 545 414
169 646 212
474 213 537
363 572 413
289 762 403
21 814 87
530 709 908
753 17 288
626 340 745
100 60 603
791 240 886
139 286 830
218 673 937
49 328 390
162 255 841
555 480 104
614 234 423
285 553 698
820 9 70
319 403 957
226 65 691
529 433 258
463 167 339
181 765 424
635 847 685
657 173 138
291 62 344
801 102 393
344 510 623
348 697 989
400 610 590
744 225 501
235 412 824
87 252 105
349 739 543
545 822 979
739 161 799
173 688 453
603 116 542
786 298 202
801 25 86
604 362 443
472 711 371
304 389 848
712 57 704
555 675 180
391 343 59
542 714 375
745 471 788
359 618 22
333 485 434
157 304 14
159 104 475
293 160 487
41 74 7
65 541 419
314 441 443
531 33 896
306 232 134
343 523 612
701 28 298
773 850 651
429 255 130
140 569 239
786 288 908
626 369 561
69 807 953
768 137 841
809 656 770
326 828 729
553 26 757
69 643 725
451 794 812
254 128 638
610 1 826
237 535 69
156 382 594
272 538 894
150 556 865
533 542 970
37 503 630
557 474 612
542 775 451
264 277 737
439 226 566
42 553 753
72 310 920
291 119 977
11 795 355
129 397 521
364 522 408
598 23 344
198 445 550
803 779 572
219 481 340
554 726 798
607 621 497
745 4 349
44 490 677
162 488 891
13 594 851
851 104 544
252 178 944
709 698 457
587 372 686
362 837 5
446 117 748
592 484 378
817 542 764
199 649 206
546 288 582
329 391 202
229 440 394
181 667 590
680 556 631
692 668 550
781 646 682
505 130 809
205 114 105
635 703 244
469 706 203
44 786 304
397 20 872
370 463 73
404 664 76
86 281 300
687 92 16
133 516 845
542 181 226
203 780 8
248 363 758
638 427 990
75 259 571
448 138 696
289 100 222
438 491 315
190 331 35
305 209 704
692 254 469
310 423 575
293 623 655
369 194 151
192 42 743
322 799 863
588 715 866
256 853 706
651 11 633
776 229 191
226 429 639
114 214 9
256 558 640
509 222 745
360 515 376
625 746 753
212 190 992
136 367 782
641 499 820
749 690 950
160 730 579
728 624 679
383 548 552
132 179 946
341 576 740
222 98 657
276 787 423
315 321 189
375 208 727
706 265 386
394 677 288
285 243 34
382 77 148
273 192 379
784 84 947
156 191 473
108 138 395
398 225 257
587 538 56
77 413 638
38 792 72
625 792 630
168 353 754
64 349 627
614 703 502
706 114 919
80 836 56
40 550 74
135 311 903
441 319 775
621 725 922
510 826 70
128 226 834
269 511 146
811 217 317
673 116 352
613 482 342
170 35 720
291 359 807
553 496 875
446 661 72
488 145 553
322 127 314
312 115 42
798 477 104
278 263 177
549 191 599
535 387 426
369 507 988
525 39 570
97 516 668
191 794 797
105 193 425
472 463 65
556 496 831
515 525 508
798 768 338
142 63 195
105 807 869
493 695 42
645 615 801
161 517 842
418 574 777
427 498 638
678 184 355
142 606 524
719 213 577
409 729 294
21 12 387
470 542 605
247 120 296
508 23 362
481 323 51
588 298 677
748 66 785
245 416 773
164 173 400
232 682 614
10 662 274
187 234 921
618 425 457
682 133 14
219 29 218
609 90 500
143 232 295
556 680 170
551 48 921
659 413 663
189 427 217
182 480 801
698 268 644
599 414 567
551 479 662
679 89 873
29 852 412
500 777 359
372 32 218
609 604 689
477 828 263
210 2 23
333 92 733
781 625 184
614 6 181
246 356 714
825 394 255
595 171 300
222 303 463
56 812 671
24 472 186
539 78 292
369 434 777
66 131 4
96 255 105
22 106 112
487 178 355
574 607 904
376 404 374
793 831 922
548 611 157
115 167 308
112 734 538
273 65 47
176 420 713
378 344 202
354 606 441
444 89 415
780 411 769
798 657 97
572 498 642
748 10 408
165 696 944
805 384 484
419 267 336
145 254 484
759 545 124
483 326 536
569 286 217
489 683 541
838 183 468
168 697 554
825 605 414
243 819 352
542 577 22
613 659 867
315 665 272
609 34 123
606 39 289
160 49 762
217 345 105
424 610 367
357 272 188
610 319 257
668 835 286
628 92 15
667 149 340
445 305 283
762 171 477
781 447 302
255 190 738
779 343 356
254 837 598
410 714 316
75 116 514
62 392 228
357 847 373
74 226 611
630 289 159
1 693 775
237 362 976
670 763 883
413 409 679
79 416 110
153 674 34
359 153 350
710 89 457
217 390 518
660 412 22
629 683 606
515 740 890
518 701 378
359 612 453
69 46 972
421 444 545
804 372 70
342 783 163
303 377 773
451 17 855
85 699 525
287 37 728
30 809 819
700 346 48
20 696 131
516 619 764
148 294 301
3 2 406
642 307 945
568 657 985
785 27 236
490 845 812
621 416 241
90 119 424
57 781 32
767 280 363
611 669 871
145 14 782
684 212 57
526 309 996
47 674 847
686 503 99
531 683 775
730 111 692
649 440 601
847 315 795
786 145 374
707 403 263
332 699 27
274 192 246
665 551 577
165 280 471
635 437 293
444 608 197
105 432 714
552 278 179
655 697 505
318 345 946
457 251 573
836 309 433
429 652 90
127 404 726
764 831 822
417 829 572
485 170 860
626 383 311
211 434 574
213 391 35
385 62 935
753 50 649
595 71 573
546 359 213
615 178 581
653 493 385
524 732 737
728 846 302
321 714 361
266 848 146
297 26 134
447 164 177
299 504 514
590 815 392
20 82 697
367 103 898
482 538 649
546 513 496
367 428 375
851 76 510
491 730 721
841 663 300
85 498 813
133 738 835
320 33 36
288 557 603
548 215 244
821 291 537
604 710 192
633 794 600
230 6 881
58 321 923
557 816 858
32 384 256
165 162 929
548 323 713
242 787 26
535 770 155
380 397 928
684 805 913
757 137 853
521 130 365
141 639 907
357 38 667
273 665 227
821 19 842
580 70 1
703 815 556
48 662 462
356 213 686
577 730 539
18 678 677
95 475 839
711 601 514
298 835 417
349 734 444
221 695 333
195 701 125
159 596 420
308 711 44
249 784 59
276 345 147
61 452 716
45 500 567
513 219 804
236 702 451
644 758 120
525 762 308
816 394 511
627 804 928
63 56 27
515 401 922
829 96 36
764 585 882
155 51 129
843 580 435
575 804 576
787 32 939
459 329 365
712 250 535
513 347 410
280 154 666
164 714 68
718 628 99
466 344 685
359 603 537
503 444 214
619 389 358
513 489 155
449 262 25
839 354 196
310 345 717
542 128 565
167 805 726
242 168 429
445 649 113
167 388 609
462 497 268
607 333 923
214 11 13
279 597 442
457 204 613
472 257 649
685 185 965
57 107 570
255 345 415
129 478 854
478 262 16
704 348 368
97 499 991
104 631 953
104 775 82
551 822 597
595 795 911
687 755 863
684 764 505
793 415 838
84 98 602
300 460 254
565 669 838
101 658 621
654 200 670
324 307 835
577 752 550
850 154 617
261 143 849
429 49 820
827 826 610
318 130 424
86 575 87
70 599 950
498 748 52
83 124 715
414 581 311
846 841 633
785 598 440
300 629 900
515 292 613
413 215 89
265 839 911
111 93 86
297 671 147
78 782 630
1 751 87
739 558 487
726 231 875
719 641 971
452 592 174
533 662 884
281 433 625
249 70 299
29 414 36
143 39 419
25 566 471
117 193 895
210 280 282
384 105 690
124 306 189
542 41 469
89 835 140
74 163 597
294 755 760
251 345 144
573 83 287
695 136 248
580 307 992
398 91 688
392 702 521
13 360 351
319 35 372
250 590 639
552 45 168
130 191 369
110 545 207
68 477 243
537 406 637
179 765 844
351 624 792
108 656 842
190 124 875
195 265 860
598 181 828
655 683 627
421 438 218
620 154 787
612 598 108
61 677 318
639 684 964
336 692 691
639 35 296
258 104 316
432 452 124
669 260 735
505 682 579
229 631 27
475 449 54
819 364 31
361 558 342
193 83 751
469 479 977
337 212 44
826 197 690
240 393 170
745 853 135
496 653 66
200 830 768
604 681 640
72 2 195
712 242 928
797 473 589
175 341 96
356 644 233
762 94 906
832 402 621
27 392 759
219 613 58
850 473 239
71 727 794
584 120 424
645 365 543
368 327 761
374 697 886
468 29 966
183 144 888
461 33 806
92 426 268
145 739 471
141 81 76
74 630 962
549 272 548
583 162 626
287 847 401
10 635 897
418 337 606
600 457 681
201 556 273
61 653 876
575 155 239
726 85 733
544 553 584
48 598 507
675 751 528
155 634 289
849 250 618
81 88 351
426 853 982
747 13 568
435 423 155
836 486 733
590 480 624
725 253 294
296 833 774
494 400 348
601 792 954
656 100 260
