17
922 936
392 94 -510
384 359 779
533 353 -775
836 284 820
391 475 -273
453 141 319
59 584 -259
707 678 -323
871 616 598
650 53 -782
573 347 756
39 507 -272
727 470 -896
186 886 -34
612 442 261
439 801 541
666 119 509
411 139 933
162 547 -386
561 26 988
676 126 -440
512 596 -67
418 603 -119
388 698 422
577 889 691
159 708 -960
710 209 -115
648 865 559
438 538 -501
580 741 642
419 535 -85
150 922 355
532 433 -777
414 167 32
670 482 438
122 813 506
918 832 46
902 151 153
516 537 -984
760 117 944
137 218 338
718 23 -614
309 109 481
175 692 463
614 626 -86
757 439 -631
710 542 -614
536 326 -252
124 623 653
336 541 898
63 604 -32
217 21 -876
713 895 -960
626 124 -154
504 883 -660
171 742 587
110 798 -73
258 198 644
540 824 713
489 251 561
368 436 115
250 662 -230
729 425 859
593 363 106
32 363 -111
552 10 -456
273 353 639
807 809 184
358 318 225
746 414 -354
896 227 -18
98 843 -333
609 344 369
342 154 -103
481 400 -366
904 627 -7
794 830 -411
223 795 -376
625 720 701
574 720 -369
472 370 724
116 849 616
333 600 652
271 142 683
720 151 -971
562 325 263
347 580 -328
316 807 583
804 257 -220
702 491 877
598 344 338
105 718 134
39 745 -670
632 426 -682
555 155 791
296 856 -161
371 879 -810
267 321 990
74 89 -487
645 72 -592
905 18 -507
603 132 649
300 9 775
67 560 225
819 905 -959
403 582 379
277 37 437
512 529 -685
393 121 -661
657 599 210
468 167 626
521 263 -314
321 914 852
494 804 20
279 146 342
183 910 -291
124 595 -507
190 51 -260
537 864 -290
600 355 -696
225 197 -965
534 477 569
227 891 84
321 409 -340
331 46 232
741 789 -652
896 692 -511
435 502 539
183 361 -886
175 786 899
539 194 -515
265 793 -384
262 877 -851
615 651 -582
267 245 844
131 674 283
742 315 890
345 584 740
676 705 946
383 438 -455
758 260 -883
476 76 776
679 547 -584
644 539 623
860 502 -234
340 210 -287
332 588 -446
163 146 379
735 435 257
549 812 633
168 774 -431
665 576 695
201 745 87
506 240 720
78 848 -197
24 369 113
200 417 -152
539 624 -994
493 764 630
448 741 -612
414 548 -768
533 256 -283
515 789 -11
172 487 439
287 190 600
270 151 -810
82 226 -619
241 886 -467
436 506 -123
885 495 691
779 872 192
552 505 -337
536 657 435
86 332 -289
472 862 -971
811 390 161
200 562 580
737 875 332
238 75 745
155 172 668
19 278 -752
398 612 133
630 152 -454
58 855 -628
625 30 -279
431 182 297
99 522 -568
753 388 673
574 866 993
614 877 -457
463 51 13
809 304 793
333 403 -266
192 131 -962
637 837 354
792 854 -577
82 307 -132
706 617 659
550 418 -613
102 770 205
874 802 155
58 426 -428
581 476 999
456 308 199
89 367 -432
484 824 -359
143 278 -219
901 698 952
837 590 147
589 101 -311
503 408 691
583 622 812
856 753 676
899 409 694
722 426 994
663 836 -704
354 715 507
88 870 200
107 122 89
470 713 834
286 811 337
271 160 444
61 878 847
881 25 -441
17 466 -456
49 717 932
201 223 -983
718 509 -402
