9518 27092
1160 5261 -686
5895 6780 -340
3241 3867 494
8579 1186 632
2388 1062 583
7974 1616 -996
7073 8582 -419
7480 3653 -727
4288 2528 551
4096 2074 -897
6344 2601 413
4817 7675 606
3861 8091 264
5026 3747 -374
2405 1539 -850
6100 5557 -412
4584 5564 -37
401 5913 -481
6535 6037 -316
7674 9385 -300
6705 5452 -384
3572 1471 130
7621 3337 -218
9515 7469 -778
738 4199 609
6161 1352 463
5180 5642 -102
8003 8947 993
9138 7922 764
5237 4788 -882
6983 3166 589
5098 1768 864
6758 2784 -684
5821 6361 389
9179 2030 -103
3191 684 -919
7186 9394 -466
9225 2160 826
751 451 -989
9411 5157 -918
4126 6405 -345
200 4691 -53
5295 1140 789
5726 4260 972
5977 202 645
1573 2302 529
9433 6927 -930
1683 846 884
3 6904 -947
8227 792 162
1564 5780 -708
328 4255 286
8610 6276 -502
4376 2691 -945
4064 296 922
4449 2800 -491
314 2803 -302
2250 3205 -395
2635 1883 -30
1830 2236 -302
7599 6581 970
4389 3236 -895
1406 9473 -803
7109 9492 420
3852 2108 -282
2371 7891 582
4854 7184 -914
4951 9291 832
1311 658 -868
1385 2428 272
5293 8220 -899
5089 4730 -89
6969 1585 -774
4833 1506 -374
1532 2806 777
3088 8727 -432
8186 4183 344
176 2707 33
3269 5809 236
7634 3812 1
1332 3172 587
7550 723 331
6419 1763 -108
5642 1677 -618
3641 2003 -172
5536 2598 -591
8636 5288 681
3045 1246 784
4953 4863 820
7360 7332 -851
1326 1028 -104
7276 8215 -312
136 2005 990
3200 2439 -343
2459 4343 456
7825 7793 458
1994 8535 -19
1721 251 -891
909 3857 -637
1273 7445 -294
2647 1827 -112
2944 3566 750
3889 1483 428
1198 3212 120
2345 3481 297
946 6891 739
668 1134 -576
6513 6877 -150
3995 1690 143
7933 1393 -249
9514 900 -265
6776 5934 335
1288 6776 -770
4975 8828 38
3083 6345 -390
7697 7295 601
1022 9352 893
4424 4907 145
7570 5975 184
2275 9322 793
8895 4673 763
4495 5286 253
5252 1382 -306
3796 6242 -42
7406 8965 -855
9232 9370 615
209 1505 -843
2614 3331 887
8886 152 -15
201 5643 690
6923 4991 -337
9254 4806 -451
5372 4762 933
2694 3304 4
1074 4548 154
7613 7969 187
2504 9355 951
8057 4125 -167
2118 3477 321
7903 688 326
6638 7203 99
8726 404 966
9403 2157 -271
8774 5468 -693
5983 6263 640
8178 5861 956
3521 2767 907
2561 6547 -920
1162 7079 582
6277 4962 761
4575 8138 -475
3752 9410 -125
247 7680 -321
3742 7574 420
6159 6939 -452
4027 7566 -338
9120 7656 608
568 2215 -1
5402 7028 323
7780 8952 674
4625 2288 -73
4306 4573 988
5507 7920 703
7470 4709 -687
7495 1361 -786
1239 8443 136
2536 5672 949
3640 7161 66
6562 5500 -790
6879 75 119
4386 2838 150
3040 7105 -505
2296 5984 -510
2863 3939 661
3632 8840 -253
1195 5327 649
6137 589 -126
7387 1782 643
5743 8819 -721
437 1754 -499
5612 2218 942
4096 2877 -702
1750 1906 730
6168 4451 538
4537 4983 -274
4218 8298 575
2235 343 -25
7153 5504 331
5237 6943 -479
6972 1646 378
2155 4323 727
4314 7326 907
63 604 -101
7590 9321 340
1712 832 -549
5740 6597 514
2276 1751 207
8115 3351 721
1785 7158 -774
6345 1778 422
7614 7008 -808
5878 4443 543
5221 2656 -186
3271 976 -974
1342 1319 929
1408 3722 -569
7778 5296 -805
4981 9253 323
808 4171 619
7976 8634 332
4693 7815 -647
8656 4006 173
6846 4826 -546
3395 6179 459
8806 5764 -784
2972 4253 295
6059 7742 749
7012 8076 240
3042 145 -170
7857 5369 805
2890 4183 283
7387 8308 -50
2030 851 -564
614 8535 543
1281 7841 -984
913 4030 -580
6708 5458 385
2687 18 -482
468 5309 -984
5134 4672 539
5272 2740 -611
6212 275 -695
788 282 169
3423 7300 251
4547 6161 -131
3126 8837 -695
18 8025 691
898 173 834
3074 9185 -359
9297 5871 338
2377 3584 743
8211 535 -259
7593 7962 286
9056 6903 400
3049 1353 -516
46 2748 -41
182 973 336
4309 7624 986
5741 1258 365
1492 9360 484
7249 1780 687
4105 6388 -514
7836 6114 -880
9299 6718 458
8881 7461 260
9357 2749 -191
7455 7972 888
1625 6907 -344
8302 1403 -395
8621 6991 459
4200 5598 -522
3119 6850 -401
8720 5030 735
7771 8625 121
8920 3594 575
2161 1105 811
4268 723 920
3172 7294 -245
3126 532 -824
3483 5673 365
193 2087 -795
3833 4720 897
525 4623 -123
6396 4035 406
6803 1927 419
2933 3774 577
8446 3256 682
7239 445 599
4844 1331 234
7547 140 -927
7393 7018 -160
7997 5072 -215
7529 2700 -424
7245 7327 -355
7247 5334 605
352 9122 839
7930 6142 740
1853 4945 -996
9195 3203 31
8233 7043 -782
7773 7138 312
6614 7151 381
5962 8468 -785
4442 6463 558
6270 3105 -480
6754 2314 -684
1820 7063 -830
8156 8578 462
9133 4860 234
7915 3649 705
4099 3638 -652
4435 6669 -926
1258 5292 -705
6217 3229 -624
6857 5242 -765
2283 4406 279
6411 5449 295
3967 8871 570
5427 2808 -715
6722 2402 377
8250 4717 925
897 7805 -997
4926 7656 -123
491 5852 -969
9282 431 -967
1002 1782 -264
5024 4397 -539
5494 1973 -156
5210 1447 232
3797 1904 671
6782 8514 -50
1367 923 200
2428 4287 418
1754 1281 -223
1474 3799 -87
356 1794 -253
7052 5664 -129
6354 6105 760
8951 6863 105
307 1114 -347
3676 1240 -955
7390 3342 -810
9056 5581 -438
644 1124 -918
4361 3282 -269
1379 4091 107
51 7798 488
4423 5286 569
7230 6760 431
8756 546 751
6404 4796 -512
267 9418 -32
9175 1064 68
347 5748 210
9003 78 860
2152 5917 683
1744 2585 634
1619 3724 -105
6063 8204 -922
5286 8442 345
8009 1812 91
979 2522 547
3278 5606 367
9488 881 289
4045 9103 620
3919 4563 -735
3197 4675 350
920 3286 99
7334 2806 998
6532 4592 561
1028 2463 611
7273 471 -253
2921 3266 38
7280 6582 -414
7595 5207 198
8242 3502 131
66 2537 956
9189 183 781
1899 553 -122
3052 1511 678
3193 5114 160
1370 4000 -677
7830 7780 -919
813 2108 -688
7332 1991 -624
4077 5225 -357
6455 7832 796
4999 5427 671
7716 6268 -146
3921 4288 180
7017 4775 -623
