Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Kh Ks 2s,0,3706,3839,728,58,1107,538,21,3
As Kh Ks 3s,0,3732,3817,795,68,1033,538,17,0
As Kh Ks 4s,0,3700,3879,768,57,1005,565,25,1
As Kh Ks 5s,0,3749,3843,764,61,1075,478,30,0
As Kh Ks 6s,0,3787,3820,799,34,1039,484,36,1
As Kh Ks 7s,0,3699,3824,797,27,1128,490,33,2
As Kh Ks 8s,0,3647,3896,822,37,1028,539,30,1
As Kh Ks 9s,0,3807,3718,816,21,1074,534,29,1
As Kh Ks 0s,0,3525,3801,745,366,1003,514,27,19
As Kh Ks Js,0,3504,3785,709,320,1075,540,26,41
As Kh Ks Qs,0,3539,3807,780,318,992,510,32,22
As Kh Ks 2h,0,4175,4122,819,73,197,578,35,1
As Kh Ks 3h,0,4278,4052,861,70,195,507,37,0
As Kh Ks 4h,0,4303,4031,862,77,165,536,26,0
As Kh Ks 5h,0,4218,4134,815,84,202,518,29,0
As Kh Ks 6h,0,4310,4043,849,46,188,542,22,0
As Kh Ks 7h,0,4178,4147,837,47,205,553,33,0
As Kh Ks 8h,0,4274,4070,826,47,185,571,27,0
As Kh Ks 9h,0,4288,4141,793,34,195,520,29,0
As Kh Ks 0h,0,4005,4097,812,387,182,488,25,4
As Kh Ks Jh,0,4019,4057,795,376,182,542,28,1
As Kh Ks Qh,0,4017,4038,836,379,176,525,25,4
As Kh Ks Ah,0,0,7308,0,38,188,2398,64,4
As Kh Ks 2d,0,4331,4124,843,80,94,493,32,3
As Kh Ks 3d,0,4318,4192,812,63,97,498,20,0
As Kh Ks 4d,0,4317,4127,828,78,107,522,21,0
As Kh Ks 5d,0,4230,4285,789,70,108,494,24,0
As Kh Ks 6d,0,4380,4079,823,38,92,570,18,0
As Kh Ks 7d,0,4238,4222,816,36,88,565,33,2
As Kh Ks 8d,0,4330,4145,816,40,88,551,30,0
As Kh Ks 9d,0,4330,4127,879,38,109,491,26,0
As Kh Ks 0d,0,4016,4121,815,385,104,524,34,1
As Kh Ks Jd,0,4159,4020,787,389,95,522,28,0
As Kh Ks Qd,0,4093,4031,782,429,120,518,26,1
As Kh Ks Kd,0,0,0,5855,39,92,3384,630,0
As Kh Ks Ad,0,0,7597,0,45,83,2236,39,0
As Kh Ks 2c,0,4229,4207,871,62,110,503,18,0
As Kh Ks 3c,0,4367,4109,811,75,81,538,18,1
As Kh Ks 4c,0,4287,4112,842,86,96,545,32,0
As Kh Ks 5c,0,4262,4168,862,58,101,519,29,1
As Kh Ks 6c,0,4323,4189,811,40,84,525,28,0
As Kh Ks 7c,0,4322,4137,794,52,100,565,30,0
As Kh Ks 8c,0,4270,4220,820,38,98,521,32,1
As Kh Ks 9c,0,4348,4126,846,41,96,514,27,2
As Kh Ks 0c,0,4000,4116,799,411,115,532,27,0
As Kh Ks Jc,0,3982,4147,813,399,78,542,37,2
As Kh Ks Qc,0,4082,4072,797,382,107,537,23,0
As Kh Ks Kc,0,0,0,5983,33,104,3256,624,0
As Kh Ks Ac,0,0,7496,0,41,87,2319,57,0
8c 7c 6s 2s,2361,4516,1562,245,1070,168,70,3,5
8c 7c 6s 3s,2326,4520,1551,266,1085,189,53,3,7
8c 7c 6s 4s,1792,3650,1427,224,2667,174,60,2,4
