Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
Kc Jc 0c 7c,967,2428,1121,195,539,4618,53,5,74
Kc 0c 9d 7c,2079,4126,1494,272,930,1023,74,1,1
0c 8c 7c 6s,1537,3400,1337,203,2395,1005,65,6,52
As Ah Ks 5h,0,4316,4089,788,67,170,542,27,1
As Ah Kh 5d,0,4204,4255,780,90,109,537,25,0
As Jh 0d 6c,2717,4908,1558,286,470,0,59,2,0
Kh 8c 7c 6s,2356,4539,1538,286,1110,108,57,2,4
As Jh 0d 2d,2691,4777,1571,272,551,80,55,3,0
Kc 0c 8s 7c,2137,4261,1480,247,747,1068,51,5,4
As Ah Kh 0s,0,4045,4033,792,397,186,512,34,1
As Qs Js 4c,2370,4344,1499,277,363,1057,63,4,23
8c 7c 6s 4c,1552,3360,1337,233,2385,1032,72,4,25
As Ah Kh 9d,0,4363,4148,833,26,104,508,17,1
Kc Qs 0c 4c,2301,4202,1418,274,673,1056,71,4,1
0c 7c 4c 3h,2265,4426,1416,283,470,1084,54,0,2
Ks Qs Js 4c,2270,4234,1422,248,693,1018,60,4,51
As 0d 8s 8c,0,4252,4110,807,163,87,561,20,0
Ks 8s 7c 6s,2086,4113,1491,236,980,1031,60,3,0
Kc Js 0c 4c,2109,4298,1558,255,670,1037,70,3,0
8s 8c 7d 7c,0,0,7428,0,160,97,2256,58,1
8s 8h 8c 6s,0,0,0,5848,116,90,3312,631,3
As Ad Jh 8c,0,4369,4136,823,91,0,557,24,0
As Ks Qs 3c,2379,4439,1499,239,364,982,63,4,31
As Ah Ks 6s,0,3760,3758,819,30,1082,528,22,1
Ah Ks Kh 5s,0,4183,4155,817,78,203,535,29,0
Jh 0d 8c 3d,2522,4661,1537,298,819,91,71,1,0
Ks Qs Js 9s,826,2068,1005,167,1192,4050,65,5,622
Qs 8s 7c 6s,1990,4056,1529,259,929,1166,67,3,1
9c 8s 8c 7c,0,3067,3614,721,953,988,559,29,69
As Ks Qs 2s,1176,2535,1095,175,193,4732,62,2,30
Ah Ks Kh 7c,0,4355,4110,855,36,88,528,28,0
Jh 0d 8c 6c,2465,4749,1534,262,818,88,80,3,1
As Ah Kh 2s,0,4282,4107,802,77,173,530,29,0
8s 7c 6s 3s,2024,4196,1489,244,961,1025,57,4,0
Ah Ks Kh 8s,0,4275,4108,810,28,177,578,24,0
As Jh 0h 8c,2350,4540,1602,273,1087,64,75,5,4
As 0d 8c 6d,2655,4892,1553,263,476,93,66,2,0
Ah Kc 0c 7c,2296,4348,1483,249,395,1159,62,4,4
Qd 0c 7c 4c,2458,4512,1436,259,190,1082,57,5,1
As Jh 8c 6c,2843,4948,1588,276,189,95,59,1,1
Kc Qd 7c 4c,2446,4575,1533,237,122,1027,58,1,1
Ks Qs Js 4h,2243,4224,1518,252,647,1012,58,2,44
0c 7c 4c 2c,1246,2625,1113,196,75,4666,72,3,4
As Qs Jh 0d,1867,3635,1381,251,2693,115,55,2,1
As Ah Ks 4d,0,4285,4173,828,70,98,522,23,1
0c 7c 6s 4c,2047,4134,1465,270,981,1033,65,5,0
Kd Kc 7c 4c,0,3775,3778,787,59,1069,507,24,1
0c 8s 8c 6s,0,3994,3980,792,487,194,519,32,2
As Kc Jh 0d,1985,3961,1375,250,2368,0,59,2,0
Jd 8c 7c 6s,2363,4585,1508,255,1130,92,66,1,0
As Kc 0c 4c,2435,4287,1453,258,389,1090,85,3,0
As Qs Js 7s,1205,2562,1087,193,195,4661,70,5,22
Ac Kc 0c 4c,1167,2593,1049,176,207,4714,60,4,30
As Qs Js 8c,2321,4179,1501,240,616,1050,55,6,32
8s 8c 6s 4d,0,4123,3924,809,473,89,545,33,4
Ks Qs Js 9d,1692,3515,1357,216,2041,1067,56,2,54
8s 8c 6s 3c,0,4228,4044,842,142,183,528,31,2
As Ks Js 4h,2414,4382,1538,244,353,971,59,7,32
As Ks Qs 8h,2431,4393,1506,244,350,995,60,1,20
As Jh 0d 7h,2509,4697,1552,270,822,91,52,6,1
Ks Qs Js 8c,2202,4278,1493,255,660,989,70,2,51
Ah Kc 7c 4c,2410,4525,1510,249,138,1108,58,2,0
As Ks Kh Qh,0,4040,3998,827,365,183,554,30,3
8s 8c 7h 7c,0,0,7404,0,140,96,2306,52,2
As Qs Jh 8c,2588,4668,1546,264,774,102,55,2,1
8s 8c 7c 3d,0,4177,4252,801,126,95,520,26,3
Jh Jc 0d 8c,0,3788,3954,826,784,86,530,32,0
As Jh 0d 8d,2428,4503,1552,248,1097,108,61,2,1
Kc 7c 5h 4c,2120,4181,1557,266,717,1097,54,5,3
Kc 7d 7c 4c,0,3696,3881,759,61,1049,521,33,0
Ah Jh 0d 8c,2376,4511,1547,282,1131,94,59,0,0
8s 8c 6s 5s,0,3299,3661,728,687,980,556,36,53
8s 8c 7c 6s,0,3573,3864,725,1067,203,531,34,3
As Qs Js 6s,1189,2535,1085,183,199,4705,69,3,32
Kc 0c 7c 4s,2413,4529,1509,240,188,1042,74,1,4
As Ah Ks Kh,0,0,7370,0,38,209,2339,44,0
As Ah Ks 0d,0,4076,4074,776,396,95,558,24,1
Ks Qs Js 7d,2238,4278,1472,246,683,976,53,1,53
Kc Qc 0c 7c,1135,2473,1061,196,367,4631,62,7,68
Jh 0d 8c 7s,1967,3898,1352,236,2474,0,72,1,0
Ah Ks Kh Jd,0,4059,4069,817,404,82,546,21,2
Kc 0c 5d 4c,2400,4505,1515,259,195,1048,74,4,0
Kc 0c 4c 2d,2495,4516,1476,263,130,1063,54,3,0
Ah Ks Kh Qd,0,4098,4008,793,426,80,569,26,0
9s 8s 8c 7c,0,3564,3836,765,1112,190,509,21,3
As Jc 0d 8c,2350,4619,1563,261,1044,101,60,2,0
As Kc Jh 8c,2777,4785,1539,256,488,94,56,5,0
As Ks Js 5s,1164,2544,1102,157,201,4742,72,0,18
As Jh 0d 6d,2702,4912,1508,254,454,99,66,4,1
As Ks Qs 7s,1231,2509,1079,199,191,4693,76,2,20
Kc Jh 7c 4c,2458,4544,1486,237,139,1061,72,2,1
As Ks Kc Js,0,3491,3726,766,359,1020,561,46,31
Qc 8c 7c 6s,2027,4123,1470,264,971,1075,65,3,2
As Jh 8c 2c,2970,4897,1577,265,120,95,74,2,0
As Jh 0d 9d,2384,4520,1515,269,1146,100,65,1,0
Qs 0c 7c 4c,2339,4564,1497,251,199,1100,49,1,0
As Ks Kh Kc,0,0,0,5926,34,96,3306,636,2
9h 8s 8c 6s,0,3856,3967,756,752,99,543,27,0
0h 8s 8c 7c,0,3765,3992,818,746,90,551,37,1
As Jh 0d 4h,2713,4777,1548,275,514,115,57,1,0
As Ks Qs 5h,2364,4382,1489,250,382,1054,50,6,23
As Ks Js 8d,2345,4311,1542,264,414,1029,65,1,29
As Ah Ks 0c,0,4116,4048,790,387,117,518,23,1
8s 8c 7s 6s,0,3064,3603,757,987,984,512,20,73
Jh 0d 9h 8c,1276,2837,1244,227,4257,93,60,3,3
As Qs Js 5s,1181,2512,1104,209,231,4654,71,3,35
8s 8c 7d 6s,0,3520,3903,821,1086,92,546,28,4
As Ks Kh 3d,0,4298,4103,881,71,91,531,24,1
Kc 7c 4s 4c,0,3743,3794,782,56,1054,544,26,1
Jh 0d 8c 4d,2481,4703,1566,278,831,81,58,2,0
As 0d 8c 5h,2832,5081,1553,245,224,0,64,1,0
As Ks Kh 3c,0,4358,4105,814,79,101,518,25,0
As Ks Js 4c,2360,4410,1553,269,345,976,57,2,28
As 0d 0c 8c,0,4229,4092,854,136,107,547,35,0
Kc 0c 4c 3s,2403,4540,1490,254,164,1079,68,1,1
Kc Jd 0c 4c,2154,4258,1528,242,686,1078,51,2,1
As Ah Ks 7h,0,4331,4042,826,34,208,539,20,0
8s 8c 7c 6d,0,3644,3846,767,1093,101,520,27,2
Jh 0d 8c 3h,2498,4700,1487,262,891,104,55,3,0
Kc 7c 4c 2s,2528,4458,1511,275,100,1056,69,3,0
8s 8h 8c 7c,0,0,0,5812,139,100,3288,657,4
Ah Ks Kh 4h,0,3676,3755,826,73,1124,510,36,0
Jh 0s 0d 8c,0,3848,4015,759,787,0,560,31,0
Kc 0s 0c 4c,0,3643,3879,776,68,1058,544,31,1
As Ks Kh 4d,0,4328,4128,822,61,84,556,20,1
8s 8c 6s 6d,0,0,7419,0,115,94,2315,56,1
As Ks Kh Jc,0,4098,3988,838,402,84,563,27,0
As Ks Qs 6s,1168,2565,1103,191,178,4693,70,4,28
As Ks Kh 8s,0,3692,3873,792,46,994,576,27,0
Kc 7c 5c 4c,1075,2490,1086,198,344,4695,61,1,50
8s 7c 6s 6h,0,3553,3950,778,1098,84,514,21,2
As 8s 8c 6s,0,3703,3797,794,95,1059,519,30,3
As Qs Js 8d,2179,4237,1467,273,671,1071,63,3,36
Kc 7c 4c 3c,1199,2626,1102,192,168,4626,67,1,19
