,name,grape,region,variety,rating,notes
0,1000 Stories Bourbon Barrel Aged Batch Blue Carignan 2016,,"Mendocino, California",Red Wine,91.0,"This is a very special, limited release of 1000 Stories Bourbon Barrel-Aged Carignan, their first-ever release of Carignan as a single varietal. Classic and rustic with a little edge. Look for notes of brilliantly racy red and black fruits set to a rich backdrop of toast, herbs, and cocoa."
1,1000 Stories Bourbon Barrel Aged Gold Rush Red 2016,,California,Red Wine,89.0,"The California Gold Rush was a period of courage, bravado and curiosity. It was with these characteristics in mind that we crafted Gold Rush Red. Grapes chosen from the golden hills and valleys of California were blended to create this bold, adventurous testament to that intrepid spirit."
2,1000 Stories Bourbon Barrel Aged Gold Rush Red 2017,,California,Red Wine,90.0,"The California Gold Rush was a period of courage, bravado and curiosity. Gold Rush is crafted with these characteristics in mind. The grapes used to blend this bold wine are carefully selected from golden hills and valleys of California. It is finished in bourbon barrels, which complements this rich wine with notes of charred vanilla and dried herbs. "
3,1000 Stories Bourbon Barrel Aged Zinfandel 2013,,"North Coast, California",Red Wine,91.0,"The wine has a deep, rich purple color. An intense raspberry fruit is on the nose, with black pepper spice and a touch of cloves and dried herbs. The palate is full with ripe tannins, big black and red fruits, followed by an array of spices. The wine finishes with a touch of warmth that lingers on and on."
4,1000 Stories Bourbon Barrel Aged Zinfandel 2014,,California,Red Wine,90.0,"Batch #004 is the first release of the 2014 vintage and once againMendocino Zinfandel plays a big role in the blend with classic oldvineyards such as Sargentini and Rucker vineyards. Head trained and dry farmed, these vineyards give nice raspberry fruits. Dry Creek Valley Zinfandel also makes a big impact on the blend in Batch #004. Dry Creek is a classic and well known source for great Zinfandel and has added a new dimension to the 1000 Stories blend. Black fruits with distinct notes of black pepper and even a bit of clove spice add complexity to the blend. Also new to this batch is the addition of Lodi Zinfandel, with its iconic bold flavors and big character. Rounding out the blend are some Zinfandels from Colusa County, Syrah from Paso Robles and Petite sirah from Mendocino. A portion of the wine is aged in French and American oak for 6 months and then aged further in bourbon barrels. We’ve selected new and used bourbon barrels for these small batches of Zinfandel, which impart characteristics specific to these barrels: charred vanilla, dried herbs and a hint of caramel."
5,1000 Stories Bourbon Barrel Aged Zinfandel 2016,,California,Red Wine,91.0,"1,000 Stories Bourbon barrel-aged Zinfandel is a harmonious balance of Zinfandel grapes from Mendocino and Sonoma counties which are bursting with aromatic red fruit scents and complex black fruit flavors. A touch of Petite Sirah and Syrah enhance those flavors even more with bold black and white pepper spices. The batch is then rounded out with a layer of smokiness derived from the new bourbon barrel aging."
6,1000 Stories Bourbon Barrel Aged Zinfandel 2017,,California,Red Wine,92.0,"Batch 55 embodies an opulent vintage, which saw its fruit grow amid lush rainfall and balmy temperatures. Nuanced aromas of sun-baked raspberry, crushed blueberry, freshly-turned earth and hints of nutmeg swirl in the glass, segueing to a palate of jammy blackberries, clove and caramel. This blend showcases Zinfandel’s warm, luscious character, accentuated by time spent in our charred bourbon barrels, which lent a graceful, smoky finish to the wine."
7,12 Linajes Crianza 2014,,"Ribera del Duero, Spain",Red Wine,92.0,"Red with violet hues. The aromas are very intense with mineral and dairy notes with essence of wild black fruits (raspberries and blackberries) combined with spicy elegant notes of black pepper and cloves with light memories of roasted coffee and toffee candies. It is balanced and rounded, powerful but with a velvety and well-integrated step that ends in volume and spice and mineral aftertaste."
8,12 Linajes Reserva 2012,,"Ribera del Duero, Spain",Red Wine,94.0,"On the nose, a complex predominance of mineral notes in a background of cherry jam combined with a subtle blend of roasted and smoked background. Powerful but with a step of silky and well-balanced tannins that make up a final that feels fatty with mineral and candied aftertaste"
9,14 Hands Cabernet Sauvignon 2010,,"Columbia Valley, Washington",Red Wine,87.0,"Concentrated aromas of dark stone fruits and toast burst from the glass. Classic Cabernet Sauvignon flavors of black cherries with subtle hints of baking spice dance across the palate, bolstered by fine, round tannins. This medium bodied wine is soft in mouth feel, yet long on fruit character and finish. "
10,14 Hands Cabernet Sauvignon 2011,,"Columbia Valley, Washington",Red Wine,89.0,"Concentrated aromas of dark stone fruits and toast burst from the glass. Classic Cabernet Sauvignon flavors of black cherries with subtle hints of baking spice dance across the palate, bolstered by fine, round tannins. This medium bodied wine is soft in mouth feel, yet long on fruit character and finish. "
11,14 Hands Cabernet Sauvignon 2015,,"Columbia Valley, Washington",Red Wine,89.0,"The 14 Hands Cabernet Sauvignon is a rich, juicy red that features aromas of dark cherry, black currant, coffee and subtle hints of spice. These flavors are complemented by a touch of spicy oak and emphasized by refined tannins."
12,14 Hands Chardonnay 2011,,Washington,White Wine,89.0,"This Chardonnay displays aromas and flavors of fresh apple with subtle hints of vanilla and buttery caramel. On the palate, notes of sweet oak and spice give way to a soft, lingering finish."
13,14 Hands Hot to Trot Red Blend 2010,,Washington,Red Wine,88.0,"This Washington state red blend opens with generous aromas of crème de cassis and sweet blackberries. Fleshy, dark fruit flavors are joined by notes of wild huckleberries and a subtle pie crust nuance. Balanced by soft and velvety tannins, this smooth, easy drinking wine finishes with hints of toast and mocha."
14,14 Hands Hot to Trot Red Blend 2012,,Washington,Red Wine,88.0,"Flavors of ripe red fruit, supported by a frame of refined tannins, give way to subtle notes of baking spice on a persistent finish."
15,14 Hands Merlot 2012,,"Columbia Valley, Washington",Red Wine,89.0,"This 14 Hands Merlot displays aromas of dark stone fruits and  cherries with subtle notes of herbs. On the palate, flavors of plum,  black cherry, blackberries and spice are complemented by soft,  polished tannins."
16,14 Hands Riesling 2014,,Washington,White Wine,88.0,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart finish. This wine would be great as an aperitif, or would pair nicely with spicy dishes."
17,14 Hands Riesling 2015,,Washington,White Wine,88.0,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart finish. "
18,14 Hands Riesling 2016,,Washington,White Wine,88.0,"This crisp Riesling shows bright flavors of apple, pear and apricot with an ideal balance of minerality and acidity, ending with an intriguing sweet, yet tart, finish. "
