review_id	sentiment	label_id	input_ids	review_body	date
11870	0	1	[0, 19993, 1722, 219, 299, 111, 1969, 13, 9881, 5863, 4, 5, 5674, 16, 2299, 45, 41345, 5579, 24, 16, 10, 18820, 8978, 4, 5779, 25, 939, 21, 164, 13, 10, 914, 4, 939, 197, 33, 1613, 160, 9, 5, 2170, 8, 45, 5, 3195, 766, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Billowy top - perfect for casual comfort. the topic is definitely not raspberry-- it is a sunset orange. disappointed as i was going for a match. i should have gone off of the picture and not the color name.	2021-08-04T09:13:10Z
13638	-1	0	[0, 713, 16, 182, 739, 4, 1437, 939, 6329, 524, 10, 579, 73, 119, 8, 939, 362, 42, 11, 41, 3023, 4, 1437, 24, 16, 10, 2721, 3588, 11, 3195, 8, 2564, 53, 5916, 62, 143, 32551, 8, 939, 33, 56, 7, 33, 24, 3841, 17317, 71, 358, 304, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	This is very large.  i normally am a s/m and i took this in an x.  it is a beautiful dress in color and fit but picks up any stain and i have had to have it dry cleaned after every use.	2021-08-04T09:13:10Z
13248	1	2	[0, 133, 804, 1893, 473, 45, 190, 109, 42, 2721, 3089, 11556, 2427, 4, 11, 621, 24, 16, 5835, 8, 1411, 19, 960, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	The online pic does not even do this beautiful blouse justice. in person it is stunning and goes with everything.	2021-08-04T09:13:10Z
18536	0	1	[0, 14541, 24, 18, 95, 162, 1437, 53, 42, 16576, 56, 10, 410, 55, 3149, 87, 939, 21, 4804, 4, 939, 437, 195, 108, 406, 1437, 198, 10529, 29882, 8, 5, 650, 2564, 162, 157, 4, 939, 101, 14, 5, 13977, 16, 33827, 11, 124, 1976, 103, 492, 1437, 53, 2455, 5, 760, 7, 356, 6921, 4, 12189, 32, 460, 372, 4, 939, 300, 10, 29874, 29227, 607, 31, 6215, 36, 5488, 16, 6344, 43, 7, 326, 5858, 88, 24, 359, 21, 2283, 13, 5, 1510, 29, 16464, 4, 5, 936, 16, 14, 24, 1064, 41, 10468, 50, 80, 1181, 15, 162, 87, 5, 1421, 1437, 8, 939, 416, 4022, 59, 1084, 118, 31296, 8165, 6664, 35187, 396, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1]	Maybe it's just me  but this skirt had a little more volume than i was expecting. i'm 5'7  around 125lbs and the small fit me well. i like that the waist is elastic in back providing some give  but allowing the front to look smooth. pockets are always great. i got a striped henley from retailer (which is awesome) to tuck into it & was excited for the 70s vibe. the problem is that it fell an inch or two longer on me than the model  and i already worry about midi skirts appearing frumpy without the	2021-08-04T09:13:10Z
10284	0	1	[0, 100, 5940, 42, 7, 5961, 53, 19, 13747, 4, 24, 16, 2721, 546, 1437, 941, 5, 22990, 4745, 4, 1437, 1437, 24, 16, 67, 182, 1810, 4, 5, 4366, 4745, 16, 10, 1498, 1521, 5998, 1437, 24, 22475, 62, 235, 874, 5, 11044, 1437, 442, 65, 356, 1810, 8, 1256, 10861, 4, 24, 18, 4678, 14, 5, 1421, 16, 9646, 5, 4366, 4202, 1116, 30, 9405, 69, 3701, 593, 7, 69, 809, 4, 53, 939, 1467, 42, 31, 5, 97, 6173, 1278, 259, 98, 24, 21, 117, 2755, 4, 1437, 1437, 939, 2740, 1836, 579, 1437, 5, 15654, 577, 1437, 8, 24, 2564, 182, 1810, 55, 101, 10, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I recommend this topper but with reservations. it is beautiful looking  especially the lace portion.   it is also very wide. the gathered portion is a complete design fail  it balloons up right below the bust  making one look wide and pretty ridiculous. it's obvious that the model is hiding the gathered poof by placing her arms close to her body. but i knew this from the other reviews posted here so it was no surprise.   i ordered size s  the smallest available  and it fit very wide more like a	2021-08-04T09:13:10Z
9310	-1	0	[0, 100, 2740, 42, 11, 1104, 8, 24, 18, 1341, 11708, 4, 25, 643, 33, 1581, 1437, 24, 16, 269, 455, 8, 24, 2323, 23, 1084, 12, 4128, 61, 630, 75, 173, 15, 127, 1955, 4, 114, 24, 56, 57, 10, 367, 4877, 1181, 8, 55, 9, 10, 27115, 636, 1437, 50, 540, 13103, 18140, 1827, 1437, 24, 115, 33, 1006, 53, 295, 9877, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I ordered this in white and it's quite sheer. as others have noted  it is really full and it hits at mid-hip which doesn't work on my figure. if it had been a few inches longer and more of a tunic  or less voluminous  it could have worked but nope.	2021-08-04T09:13:10Z
19220	1	2	[0, 2387, 1354, 300, 42, 3588, 11, 5, 158, 8, 939, 300, 24, 11, 5, 231, 111, 52, 32, 258, 6764, 4, 67, 1437, 79, 18, 10, 1275, 3628, 8, 300, 5, 24317, 1732, 8, 939, 437, 12953, 8, 300, 5, 6907, 4, 67, 1437, 258, 9, 201, 32, 650, 12, 2871, 16460, 111, 8, 187, 89, 16, 117, 492, 11, 5, 10199, 1437, 939, 218, 75, 216, 147, 65, 74, 2564, 39499, 114, 47, 33, 106, 4, 65, 631, 939, 1581, 36, 463, 939, 524, 45, 1372, 59, 43, 16, 14, 5, 124, 16, 181, 3964, 20093, 62, 552, 5, 43805, 4, 42, 34, 7, 28, 15, 3508, 1437, 8, 939, 218, 75, 269, 1346, 14, 4617, 1437, 25, 24, 630, 75, 2342, 7933, 162, 8, 2]	My daughter got this dress in the 10 and i got it in the 6 - we are both tall. also  she's a redhead and got the butterfly version and i'm blonde and got the pink. also  both of us are small-chested - and since there is no give in the fabric  i don't know where one would fit boobs if you have them. one thing i noted (and i am not happy about) is that the back is puckered up along the zipper. this has to be on purpose  and i don't really understand that detail  as it doesn't flatter me and it loo	2021-08-04T09:13:10Z
4815	0	1	[0, 100, 300, 5, 1275, 1437, 61, 21, 765, 30145, 5202, 4, 5, 6399, 1495, 21, 98, 11962, 1437, 53, 5, 2564, 16, 182, 2233, 219, 4, 939, 300, 10, 650, 8, 24, 21, 169, 350, 1810, 4, 444, 6012, 8, 10941, 11, 5, 13977, 87, 5, 2170, 924, 4, 939, 524, 5074, 7, 671, 1437, 53, 24, 817, 162, 356, 101, 10, 3925, 4, 36, 43882, 14, 16, 43, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I got the red  which was short sleeved. the shirt itself was so cute  but the fit is very boxy. i got a small and it was way too wide. far wider and shorter in the waist than the picture shows. i am sad to return  but it makes me look like a square. (shape that is)	2021-08-04T09:13:10Z
18399	1	2	[0, 100, 1381, 42, 15, 11, 5, 1400, 8, 2638, 24, 4, 24, 16, 182, 3473, 4, 939, 23855, 62, 65, 50, 80, 10070, 4, 939, 524, 182, 7174, 8, 5568, 4716, 1459, 53, 770, 10, 410, 55, 5933, 4, 24, 40, 28, 10, 372, 3588, 13, 1136, 25, 5, 10199, 16, 2016, 615, 7, 3568, 88, 1136, 4, 939, 206, 24, 1326, 357, 11, 621, 87, 804, 4, 74, 5940, 24, 114, 47, 101, 42, 761, 9, 3588, 4, 657, 14, 24, 34, 12189, 350, 4, 372, 1318, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	I tried this on in the store and loved it. it is very comfortable. i sized up one or two sizes. i am very thin and somewhat petite but wanted a little more length. it will be a great dress for fall as the fabric is heavy enough to wear into fall. i think it looks better in person than online. would recommend it if you like this kind of dress. love that it has pockets too. great quality.	2021-08-04T09:13:10Z
8965	-1	0	[0, 10365, 650, 734, 350, 24186, 734, 2579, 7992, 10199, 4, 45, 127, 2674, 16259, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Too small... too flare... nice thick fabric. not my favorite pant.	2021-08-04T09:13:10Z
