,Future Connection
"(6, 840)",0.0
"(4, 197)",0.0
"(620, 979)",0.0
"(519, 872)",0.0
"(382, 423)",0.0
"(97, 226)",1.0
"(349, 905)",0.0
"(429, 860)",0.0
"(309, 989)",0.0
"(468, 880)",0.0
"(228, 715)",0.0
"(397, 488)",0.0
"(253, 570)",0.0
"(435, 791)",0.0
"(711, 737)",0.0
"(263, 884)",0.0
"(342, 473)",1.0
"(523, 941)",0.0
"(157, 189)",0.0
"(542, 757)",0.0
"(731, 870)",0.0
"(497, 973)",0.0
"(93, 398)",0.0
"(102, 604)",0.0
"(206, 303)",1.0
"(57, 447)",0.0
"(417, 758)",0.0
"(834, 837)",0.0
"(261, 557)",0.0
"(514, 740)",0.0
"(332, 621)",0.0
"(786, 967)",0.0
"(20, 830)",0.0
"(72, 592)",0.0
"(160, 625)",0.0
"(147, 687)",0.0
"(799, 810)",0.0
"(314, 648)",0.0
"(593, 866)",0.0
"(590, 725)",1.0
"(170, 430)",1.0
"(234, 361)",0.0
"(250, 567)",0.0
"(341, 633)",0.0
"(337, 838)",0.0
"(121, 348)",0.0
"(206, 221)",0.0
"(273, 457)",0.0
"(78, 850)",0.0
"(332, 341)",0.0
"(8, 454)",0.0
"(449, 993)",0.0
"(242, 532)",0.0
"(637, 669)",0.0
"(42, 662)",0.0
"(782, 1002)",0.0
"(48, 436)",0.0
"(346, 632)",0.0
"(167, 216)",0.0
"(65, 384)",0.0
"(88, 916)",0.0
"(212, 987)",0.0
"(20, 673)",0.0
"(75, 383)",0.0
"(92, 401)",0.0
"(173, 568)",0.0
"(406, 981)",0.0
"(332, 695)",0.0
"(377, 598)",0.0
"(900, 933)",0.0
"(563, 709)",1.0
"(487, 808)",0.0
"(131, 184)",1.0
"(80, 98)",0.0
"(25, 87)",0.0
"(470, 926)",0.0
"(344, 689)",0.0
"(595, 850)",0.0
"(533, 668)",0.0
"(507, 744)",0.0
"(522, 702)",0.0
"(59, 525)",0.0
"(707, 922)",1.0
"(679, 972)",0.0
"(76, 679)",0.0
"(640, 755)",0.0
"(143, 894)",0.0
"(280, 668)",0.0
"(372, 794)",0.0
"(369, 523)",0.0
"(337, 839)",0.0
"(331, 565)",0.0
"(315, 957)",0.0
"(66, 371)",0.0
"(614, 894)",0.0
"(189, 309)",1.0
"(77, 508)",0.0
"(40, 678)",0.0
"(183, 496)",1.0
"(56, 383)",0.0
"(84, 813)",0.0
"(210, 663)",0.0
"(486, 957)",0.0
"(424, 626)",0.0
"(101, 892)",0.0
"(435, 461)",0.0
"(47, 154)",0.0
"(366, 483)",0.0
"(531, 999)",0.0
"(698, 804)",0.0
"(17, 581)",0.0
"(549, 970)",0.0
"(299, 448)",0.0
"(530, 661)",1.0
"(207, 285)",0.0
"(399, 904)",0.0
"(76, 489)",0.0
"(84, 728)",0.0
"(248, 426)",0.0
"(181, 245)",0.0
"(444, 445)",0.0
"(349, 737)",0.0
"(135, 581)",0.0
"(547, 733)",0.0
"(682, 975)",0.0
"(741, 807)",0.0
"(487, 689)",0.0
"(623, 768)",0.0
"(285, 692)",0.0
"(778, 949)",0.0
"(110, 728)",0.0
"(254, 400)",0.0
"(296, 318)",0.0
"(811, 895)",0.0
"(609, 760)",0.0
"(308, 793)",0.0
"(10, 56)",0.0
"(99, 998)",0.0
"(856, 975)",0.0
"(416, 494)",0.0
"(212, 527)",0.0
"(69, 461)",0.0
"(44, 255)",1.0
"(322, 713)",0.0
"(282, 609)",0.0
"(442, 692)",0.0
"(16, 774)",0.0
"(633, 637)",0.0
"(6, 675)",0.0
"(305, 486)",0.0
"(392, 997)",0.0
"(677, 944)",0.0
"(193, 668)",0.0
"(591, 747)",0.0
"(367, 577)",1.0
"(412, 548)",0.0
"(276, 389)",0.0
"(319, 614)",0.0
"(38, 515)",0.0
"(429, 800)",0.0
"(36, 968)",0.0
"(60, 989)",0.0
"(19, 518)",1.0
"(86, 211)",1.0
"(9, 485)",0.0
"(700, 762)",0.0
"(846, 932)",0.0
"(256, 971)",0.0
"(428, 621)",0.0
"(169, 714)",1.0
"(363, 590)",0.0
"(812, 890)",0.0
"(250, 579)",0.0
"(413, 483)",1.0
"(136, 198)",0.0
"(964, 972)",0.0
"(132, 507)",0.0
"(79, 887)",0.0
"(502, 803)",0.0
"(95, 566)",0.0
"(142, 772)",0.0
"(416, 834)",0.0
"(483, 879)",0.0
"(612, 928)",0.0
"(341, 757)",0.0
"(527, 655)",0.0
"(413, 504)",1.0
"(358, 898)",0.0
"(628, 847)",0.0
"(321, 433)",0.0
"(518, 597)",1.0
"(124, 147)",1.0
"(154, 182)",0.0
"(319, 602)",0.0
"(187, 265)",1.0
"(153, 916)",0.0
"(110, 188)",0.0
"(443, 769)",0.0
"(529, 580)",0.0
"(597, 700)",0.0
"(438, 760)",0.0
"(511, 775)",0.0
"(203, 665)",0.0
"(494, 929)",0.0
"(231, 389)",0.0
"(69, 342)",0.0
"(416, 981)",0.0
"(117, 743)",0.0
"(356, 724)",0.0
"(39, 918)",0.0
