,match,Day,Month,Year
9,0,10,4,1971
84,0,18,5,1971
2,0,8,7,1971
53,0,11,7,1971
28,0,12,9,1971
474,0,1,1,1972
153,0,13,1,1972
13,0,26,1,1972
129,0,6,5,1972
98,0,13,5,1972
111,0,10,6,1972
225,0,15,6,1972
31,0,20,7,1972
171,0,4,10,1972
191,0,30,11,1972
486,0,1,1,1973
335,0,1,2,1973
415,0,1,2,1973
36,0,14,2,1973
323,0,1,3,1973
405,0,1,3,1973
422,0,1,4,1973
375,0,1,6,1973
380,0,1,7,1973
345,0,1,10,1973
57,0,1,12,1973
481,0,1,1,1974
436,0,1,2,1974
104,0,24,2,1974
299,0,1,3,1974
162,0,5,3,1974
154,0,6,3,1974
402,0,1,4,1974
95,0,11,4,1974
73,0,12,4,1974
108,0,4,5,1974
156,0,26,5,1974
332,0,1,6,1974
182,0,13,6,1974
82,0,7,7,1974
351,0,1,8,1974
278,0,1,9,1974
214,0,10,9,1974
155,0,10,10,1974
223,0,14,10,1974
473,0,1,1,1975
49,0,28,2,1975
317,0,1,3,1975
11,0,9,4,1975
319,0,1,7,1975
40,0,29,7,1975
418,0,1,8,1975
165,0,18,8,1975
370,0,1,9,1975
382,0,1,9,1975
3,0,27,9,1975
50,0,22,11,1975
363,0,1,12,1975
219,0,14,12,1975
465,0,1,1,1976
237,0,1,2,1976
23,0,11,2,1976
342,0,1,3,1976
204,0,10,3,1976
258,0,1,4,1976
315,0,1,6,1976
27,0,2,9,1976
93,0,20,9,1976
17,0,13,10,1976
303,0,1,1,1977
488,0,1,1,1977
283,0,1,2,1977
395,0,1,2,1977
309,0,1,4,1977
419,0,1,5,1977
123,0,4,5,1977
19,0,21,5,1977
117,0,20,6,1977
232,0,1,7,1977
72,0,11,7,1977
189,0,21,10,1977
318,0,1,1,1978
369,0,1,1,1978
493,0,1,1,1978
239,0,1,2,1978
148,0,2,2,1978
105,0,3,2,1978
336,0,1,3,1978
6,0,18,5,1978
200,0,26,7,1978
81,0,4,8,1978
65,0,11,8,1978
434,0,1,10,1978
164,0,21,10,1978
313,0,1,12,1978
378,0,1,12,1978
495,0,1,1,1979
424,0,1,4,1979
398,0,1,5,1979
5,0,6,7,1979
254,0,1,8,1979
296,0,1,8,1979
75,0,6,9,1979
167,0,1,10,1979
21,0,21,10,1979
259,0,1,11,1979
499,0,1,1,1980
