ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSNFLAG,HCNFLAG,WMOID,x,y,x_group,y_group,xy_group,hash
AE000041196,25.333000000000002,55.516999999999996,34.0,,SHARJAH INTER. AIRP,GSN,,41196.0,5579577.7794616,2816905.0559849413,5497601.479782179 to 5594934.908498545,2772265.475723952 to 2869598.904440318,"5497601.479782179 to 5594934.908498545, 2772265.475723952 to 2869598.904440318",1f6f0e89f4e937d934fe9acde2545e0d66bbcfe3b6632044cdb9f6ba
AEM00041194,25.255,55.364,10.4,,DUBAI INTL,,,41194.0,5567781.753973064,2808231.839454454,5497601.479782179 to 5594934.908498545,2772265.475723952 to 2869598.904440318,"5497601.479782179 to 5594934.908498545, 2772265.475723952 to 2869598.904440318",1f6f0e89f4e937d934fe9acde2545e0d66bbcfe3b6632044cdb9f6ba
AEM00041217,24.433000000000003,54.651,26.8,,ABU DHABI INTL,,,41217.0,5532707.240983539,2716829.480633169,5497601.479782179 to 5594934.908498545,2674932.047007587 to 2772265.4757239525,"5497601.479782179 to 5594934.908498545, 2674932.047007587 to 2772265.4757239525",35c9093084d26708afc5b482ea15ba52e3f20fb7cd781f287e44da25
AEM00041218,24.261999999999997,55.608999999999995,264.9,,AL AIN INTL,,,41218.0,5637300.619174902,2697815.121316332,5594934.908498544 to 5692268.33721491,2674932.047007587 to 2772265.4757239525,"5594934.908498544 to 5692268.33721491, 2674932.047007587 to 2772265.4757239525",2a6a7edad90579049fd1b3c3a990e8a8be90cb1975118e16bf2be0a3
AFM00040990,31.5,65.85,1010.0,,KANDAHAR AIRPORT,,,40990.0,6243198.625320172,3502645.1373120295,6178935.480796736 to 6276268.909513102,3453599.476738509 to 3550932.9054548745,"6178935.480796736 to 6276268.909513102, 3453599.476738509 to 3550932.9054548745",039e75bbef55baa3fecc0568dc3b245666a98b1bcba6b4330263d805
AG000060390,36.7167,3.25,24.0,,ALGER-DAR EL BEIDA,GSN,,60390.0,289685.9454267627,4082716.530576019,241596.3290984556 to 338929.7578148215,4037600.0490367003 to 4134933.477753066,"241596.3290984556 to 338929.7578148215, 4037600.0490367003 to 4134933.477753066",48b283514a28345d4229fc18d3d7560b150a5bfb6c2f5099b9e4ae39
AG000060590,30.5667,2.8667,397.0,,EL-GOLEA,GSN,,60590.0,274466.92507029494,3398866.765672242,241596.3290984556 to 338929.7578148215,3356266.0480221435 to 3453599.4767385093,"241596.3290984556 to 338929.7578148215, 3356266.0480221435 to 3453599.4767385093",a7baf93a7b7b45104090ecc99c6a180bea3e09b1242d9a4e842ff1f8
AG000060611,28.05,9.6331,561.0,,IN-AMENAS,GSN,,60611.0,945333.0794973391,3119022.0984635693,922930.3301130123 to 1020263.7588293783,3064265.761873048 to 3161599.1905894135,"922930.3301130123 to 1020263.7588293783, 3064265.761873048 to 3161599.1905894135",65dec05c5044f25f9d23791cc08f321e687bfc6babdb00fb02ca2c9d
AG000060680,22.8,5.4331,1362.0,,TAMANRASSET,GSN,,60680.0,556928.881870599,2535247.9089115644,533596.6152475514 to 630930.0439639173,2480265.1895748563 to 2577598.618291222,"533596.6152475514 to 630930.0439639173, 2480265.1895748563 to 2577598.618291222",e094ef4d8963e9cbdd0798b91dfba0287524d37cf80818715fc01d40
AGE00147708,36.72,4.05,222.0,,TIZI OUZOU,,,60395.0,360977.74737272237,4083083.4743523085,338929.75781482086 to 436263.18653118674,4037600.0490367003 to 4134933.477753066,"338929.75781482086 to 436263.18653118674, 4037600.0490367003 to 4134933.477753066",433cdbd31331af05a10c59782423392d33e00cab736a13d838450d12
AGE00147710,36.75,5.1,9.0,,BEJAIA-BOUGIE (PORT),,,60401.0,454386.9724112013,4086419.3268640344,436263.1865311861 to 533596.615247552,4037600.0490367003 to 4134933.477753066,"436263.1865311861 to 533596.615247552, 4037600.0490367003 to 4134933.477753066",e7de7102294f0e52cf235f6c054c70d5b72639a498a1abb40b026cb4
AGE00147716,35.1,-1.85,83.0,,NEMOURS (GHAZAOUET),,,60517.0,-168302.31870679822,3902947.438719119,-245070.81448337063 to -147737.38576700474,3842933.19160397 to 3940266.6203203355,"-245070.81448337063 to -147737.38576700474, 3842933.19160397 to 3940266.6203203355",3cfe6abc8fb6c850986125dfe3cb3b12f5a24bcfec22f0e5c8769b5c
AGE00147718,34.85,5.72,125.0,,BISKRA,,,60525.0,521963.3878219887,3875148.667788071,436263.1865311861 to 533596.615247552,3842933.19160397 to 3940266.6203203355,"436263.1865311861 to 533596.615247552, 3842933.19160397 to 3940266.6203203355",4a986f56d233801843eabe75ec784d99753222d7da0d47bd34467fbd
AGE00147719,33.7997,2.89,767.0,,LAGHOUAT,,,60545.0,267040.9462854509,3758360.4713525525,241596.3290984556 to 338929.7578148215,3745599.7628876045 to 3842933.1916039702,"241596.3290984556 to 338929.7578148215, 3745599.7628876045 to 3842933.1916039702",a7b481bb52e6360d9bddffffa9d0e5d3ed02da0962eca892a0f8cddb
AGM00060351,36.795,5.874,11.0,,JIJEL,,,60351.0,523039.7813565647,4091423.1056316234,436263.1865311861 to 533596.615247552,4037600.0490367003 to 4134933.477753066,"436263.1865311861 to 533596.615247552, 4037600.0490367003 to 4134933.477753066",e7de7102294f0e52cf235f6c054c70d5b72639a498a1abb40b026cb4
AGM00060353,36.817,5.882999999999999,6.0,,JIJEL-PORT,,,60353.0,523690.6865850079,4093869.397473555,436263.1865311861 to 533596.615247552,4037600.0490367003 to 4134933.477753066,"436263.1865311861 to 533596.615247552, 4037600.0490367003 to 4134933.477753066",e7de7102294f0e52cf235f6c054c70d5b72639a498a1abb40b026cb4
AGM00060355,36.933,6.95,7.0,,SKIKDA,,,60355.0,617733.6156891342,4106768.0271855616,533596.6152475514 to 630930.0439639173,4037600.0490367003 to 4134933.477753066,"533596.6152475514 to 630930.0439639173, 4037600.0490367003 to 4134933.477753066",b5f514bea3176c0de0fe0c69efb8717ca95f446924216e17df5d2051
AGM00060360,36.821999999999996,7.809,4.9,,ANNABA,,,60360.0,695093.2199972192,4094425.372892176,630930.0439639166 to 728263.4726802825,4037600.0490367003 to 4134933.477753066,"630930.0439639166 to 728263.4726802825, 4037600.0490367003 to 4134933.477753066",020a47d24777a35adccbd5fc39361985a484cd3dd7b4dc8096d06098
AGM00060367,36.9,8.45,13.0,,EL-KALA,,,60367.0,751382.4715764282,4103098.5894226627,728263.4726802818 to 825596.9013966478,4037600.0490367003 to 4134933.477753066,"728263.4726802818 to 825596.9013966478, 4037600.0490367003 to 4134933.477753066",0745e11d266002caf7ef47ef46a3dd3db7a3afee88db6784e8be5170
AGM00060369,36.766999999999996,3.1,12.0,,ALGER-PORT,,,60369.0,276134.7964581727,4088309.6432873453,241596.3290984556 to 338929.7578148215,4037600.0490367003 to 4134933.477753066,"241596.3290984556 to 338929.7578148215, 4037600.0490367003 to 4134933.477753066",48b283514a28345d4229fc18d3d7560b150a5bfb6c2f5099b9e4ae39
AGM00060402,36.711999999999996,5.07,6.1,,SOUMMAM,,,60402.0,451937.72158001026,4082193.913682515,436263.1865311861 to 533596.615247552,4037600.0490367003 to 4134933.477753066,"436263.1865311861 to 533596.615247552, 4037600.0490367003 to 4134933.477753066",e7de7102294f0e52cf235f6c054c70d5b72639a498a1abb40b026cb4
AGM00060403,36.467,7.4670000000000005,228.0,,GUELMA,,,60403.0,667721.6215306278,4054951.118170088,630930.0439639166 to 728263.4726802825,4037600.0490367003 to 4134933.477753066,"630930.0439639166 to 728263.4726802825, 4037600.0490367003 to 4134933.477753066",020a47d24777a35adccbd5fc39361985a484cd3dd7b4dc8096d06098
AGM00060419,36.275999999999996,6.62,690.4,,MOHAMED BOUDIAF INTL,,,60419.0,593435.5301365497,4033712.857178767,533596.6152475514 to 630930.0439639173,3940266.620320335 to 4037600.0490367007,"533596.6152475514 to 630930.0439639173, 3940266.620320335 to 4037600.0490367007",859cd1d9103742e39f7d4eb6dd31ad57e30217ee97e1ec9b6f669e90
AGM00060421,35.867,7.117000000000001,891.0,,OUM EL BOUAGHI,,,60421.0,641314.1979203589,3988234.067935573,630930.0439639166 to 728263.4726802825,3940266.620320335 to 4037600.0490367007,"630930.0439639166 to 728263.4726802825, 3940266.620320335 to 4037600.0490367007",964f2487be78632b5c7b1c053ba9adf84277dc1908a089915a618d43
AGM00060423,36.283,7.9670000000000005,680.0,,SOUK AHRAS,,,60423.0,714120.3776626189,4034491.222764837,630930.0439639166 to 728263.4726802825,3940266.620320335 to 4037600.0490367007,"630930.0439639166 to 728263.4726802825, 3940266.620320335 to 4037600.0490367007",964f2487be78632b5c7b1c053ba9adf84277dc1908a089915a618d43
AGM00060425,36.213,1.3319999999999999,141.1,,ECH CHELIFF,,,60425.0,119500.53525246531,4026707.566904144,46929.47166572511 to 144262.900382091,3940266.620320335 to 4037600.0490367007,"46929.47166572511 to 144262.900382091, 3940266.620320335 to 4037600.0490367007",db8eded33f15beaba424bd1909c6bfea427631d7f4c72711597a6441
AGM00060430,36.3,2.233,721.0,,MILIANA,,,60430.0,200110.88187776896,4036381.539188148,144262.90038209036 to 241596.32909845625,3940266.620320335 to 4037600.0490367007,"144262.90038209036 to 241596.32909845625, 3940266.620320335 to 4037600.0490367007",1ec9c76543f10ad9095001c10bc042b9be16d61d1f42f7c811c7ce7c
AGM00060437,36.283,2.733,1036.0,,MEDEA,,,60437.0,244971.88303651783,4034491.222764837,241596.3290984556 to 338929.7578148215,3940266.620320335 to 4037600.0490367007,"241596.3290984556 to 338929.7578148215, 3940266.620320335 to 4037600.0490367007",e57a550b3cee034a947b357b8c55e85f3a24bc8d34c98a4af03cf572
AGM00060444,36.067,4.7669999999999995,930.0,,BORDJ-BOU-ARRERIDJ,,,60444.0,428468.5534211972,4010473.0846804115,338929.75781482086 to 436263.18653118674,3940266.620320335 to 4037600.0490367007,"338929.75781482086 to 436263.18653118674, 3940266.620320335 to 4037600.0490367007",417aebd1c25f08e7884f52e47b876d82dc7ce3c1f2343f632b521b5d
AGM00060445,36.178000000000004,5.324,1050.0,,SETIF AIN ARNAT,,,60445.0,477856.84060648666,4022815.7389737973,436263.1865311861 to 533596.615247552,3940266.620320335 to 4037600.0490367007,"436263.1865311861 to 533596.615247552, 3940266.620320335 to 4037600.0490367007",1002932fb8912e5fe81dfcd7c9441af89771f177557dff865859fe04
