Air Power,Cadence,Form Power,Ground Time,Leg Spring Stiffness,Power,Vertical Oscillation,altitude,cadence,datafile,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,speed,timestamp,unknown_87,unknown_88,unknown_90
,,,,,,,,0.0,activities/2675855419.fit.gz,0.0,,0.0,0.0,68.0,,,0.0,2019-07-08 21:04:03,0.0,300.0,
,,,,,,,,0.0,activities/2675855419.fit.gz,0.0,,0.0,0.0,68.0,,,0.0,2019-07-08 21:04:04,0.0,300.0,
,,,,,,,,54.0,activities/2675855419.fit.gz,1.32,,1.316,0.0,71.0,,,1316.0,2019-07-08 21:04:07,0.0,300.0,
,,,,,,,3747.0,77.0,activities/2675855419.fit.gz,12.19,249.39999999999998,1.866,0.0,77.0,504432050.0,-999063637.0,1866.0,2019-07-08 21:04:14,0.0,100.0,
,,,,,,,3798.0,77.0,activities/2675855419.fit.gz,14.08,259.6,1.894,0.0,80.0,504432492.0,-999064534.0,1894.0,2019-07-08 21:04:15,0.0,100.0,
,,,,,,,3799.0,77.0,activities/2675855419.fit.gz,14.08,259.79999999999995,1.894,0.0,83.0,504432667.0,-999064622.0,1894.0,2019-07-08 21:04:16,0.0,100.0,
,,,,,,,3802.0,77.0,activities/2675855419.fit.gz,14.99,260.4,1.903,0.0,83.0,504432736.0,-999064796.0,1903.0,2019-07-08 21:04:17,0.0,300.0,
,,,,,,,3811.0,77.0,activities/2675855419.fit.gz,16.95,262.20000000000005,1.997,0.0,86.0,504432914.0,-999064984.0,1997.0,2019-07-08 21:04:18,0.0,300.0,
,,,,,,,3826.0,74.0,activities/2675855419.fit.gz,20.6,265.20000000000005,2.025,0.5,90.0,504433069.0,-999065633.0,2025.0,2019-07-08 21:04:20,0.0,300.0,
,,,,,,,3829.0,74.0,activities/2675855419.fit.gz,26.36,265.79999999999995,2.006,0.5,92.0,504433278.0,-999066439.0,2006.0,2019-07-08 21:04:22,0.0,300.0,
,,,,,,,3843.0,0.0,activities/2675855419.fit.gz,36.47,268.6,1.764,0.0,94.0,504433190.0,-999067952.0,1764.0,2019-07-08 21:04:29,0.0,300.0,
,,,,,,,3856.0,0.0,activities/2675855419.fit.gz,37.95,271.20000000000005,0.0,0.0,91.0,504433280.0,-999068122.0,0.0,2019-07-08 21:04:33,0.0,300.0,
,,,,,,,3863.0,0.0,activities/2675855419.fit.gz,39.15,272.6,0.0,0.0,88.0,504433375.0,-999068252.0,0.0,2019-07-08 21:04:35,0.0,300.0,
,,,,,,,3866.0,0.0,activities/2675855419.fit.gz,40.23,273.20000000000005,0.0,0.0,87.0,504433454.0,-999068374.0,0.0,2019-07-08 21:04:36,0.0,300.0,
,,,,,,,3873.0,0.0,activities/2675855419.fit.gz,43.0,274.6,0.0,0.0,84.0,504433625.0,-999068722.0,0.0,2019-07-08 21:04:38,0.0,300.0,
,,,,,,,3922.0,0.0,activities/2675855419.fit.gz,54.29,284.4,0.644,0.0,82.0,504434691.0,-999069503.0,644.0,2019-07-08 21:04:44,0.0,300.0,
,,,,,,,3944.0,73.0,activities/2675855419.fit.gz,58.1,288.79999999999995,0.821,0.0,79.0,504435098.0,-999069558.0,821.0,2019-07-08 21:04:46,0.0,100.0,
,,,,,,,3951.0,75.0,activities/2675855419.fit.gz,64.17,290.20000000000005,1.278,0.5,81.0,504435731.0,-999069718.0,1278.0,2019-07-08 21:04:49,0.0,100.0,
,,,,,,,3947.0,76.0,activities/2675855419.fit.gz,65.67,289.4,1.372,0.0,83.0,504435869.0,-999069605.0,1372.0,2019-07-08 21:04:50,0.0,100.0,
,,,,,,,3943.0,76.0,activities/2675855419.fit.gz,67.74,288.6,1.465,0.0,82.0,504436093.0,-999069576.0,1465.0,2019-07-08 21:04:51,0.0,100.0,
,,,,,,,3935.0,76.0,activities/2675855419.fit.gz,73.35,287.0,1.586,0.0,84.0,504436694.0,-999069568.0,1586.0,2019-07-08 21:04:53,0.0,300.0,
,,,,,,,3931.0,78.0,activities/2675855419.fit.gz,75.83,286.20000000000005,1.624,0.5,87.0,504436955.0,-999069491.0,1624.0,2019-07-08 21:04:54,0.0,300.0,
,,,,,,,3925.0,78.0,activities/2675855419.fit.gz,81.6,285.0,1.726,0.5,92.0,504437566.0,-999069589.0,1726.0,2019-07-08 21:04:56,0.0,300.0,
,,,,,,,3921.0,78.0,activities/2675855419.fit.gz,86.46,284.20000000000005,1.801,0.5,94.0,504438087.0,-999069579.0,1801.0,2019-07-08 21:04:58,0.0,300.0,
,,,,,,,3917.0,78.0,activities/2675855419.fit.gz,92.13,283.4,1.857,0.5,97.0,504438675.0,-999069804.0,1857.0,2019-07-08 21:05:00,0.0,300.0,
,,,,,,,3915.0,77.0,activities/2675855419.fit.gz,93.68,283.0,1.894,0.5,98.0,504438843.0,-999069553.0,1894.0,2019-07-08 21:05:01,0.0,300.0,
,,,,,,,3908.0,77.0,activities/2675855419.fit.gz,101.15,281.6,1.931,0.0,101.0,504439648.0,-999069652.0,1931.0,2019-07-08 21:05:04,0.0,300.0,
,,,,,,,3901.0,78.0,activities/2675855419.fit.gz,110.88,280.20000000000005,1.95,0.0,101.0,504440695.0,-999069672.0,1950.0,2019-07-08 21:05:08,0.0,300.0,
,,,,,,,3901.0,79.0,activities/2675855419.fit.gz,125.8,280.20000000000005,2.071,0.0,102.0,504442283.0,-999069803.0,2071.0,2019-07-08 21:05:14,0.0,300.0,
,,,,,,,3908.0,78.0,activities/2675855419.fit.gz,139.09,281.6,2.062,0.0,103.0,504443699.0,-999070001.0,2062.0,2019-07-08 21:05:20,0.0,300.0,
,,,,,,,3903.0,79.0,activities/2675855419.fit.gz,159.68,280.6,2.099,0.0,104.0,504445918.0,-999070001.0,2099.0,2019-07-08 21:05:27,0.0,300.0,
,,,,,,,3903.0,79.0,activities/2675855419.fit.gz,162.47,280.6,2.118,0.0,104.0,504446220.0,-999069955.0,2118.0,2019-07-08 21:05:28,0.0,300.0,
,,,,,,,3900.0,78.0,activities/2675855419.fit.gz,183.69,280.0,2.202,0.0,105.0,504448492.0,-999069782.0,2202.0,2019-07-08 21:05:36,0.0,300.0,
,,,,,,,3900.0,78.0,activities/2675855419.fit.gz,186.99,280.0,2.211,0.0,105.0,504448840.0,-999069876.0,2211.0,2019-07-08 21:05:37,0.0,300.0,
,,,,,,,3900.0,78.0,activities/2675855419.fit.gz,206.46,280.0,2.333,0.0,106.0,504450918.0,-999070149.0,2333.0,2019-07-08 21:05:44,0.0,300.0,
,,,,,,,3900.0,78.0,activities/2675855419.fit.gz,218.11,280.0,2.37,0.0,107.0,504452174.0,-999070144.0,2370.0,2019-07-08 21:05:49,0.0,300.0,
,,,,,,,3893.0,79.0,activities/2675855419.fit.gz,238.84,278.6,2.389,0.0,107.0,504454393.0,-999070335.0,2389.0,2019-07-08 21:05:57,0.0,300.0,
,,,,,,,3883.0,79.0,activities/2675855419.fit.gz,252.29,276.6,2.435,0.0,107.0,504455848.0,-999070504.0,2435.0,2019-07-08 21:06:03,0.0,300.0,
,,,,,,,3881.0,80.0,activities/2675855419.fit.gz,253.44,276.20000000000005,2.435,0.0,107.0,504455873.0,-999070667.0,2435.0,2019-07-08 21:06:04,0.0,300.0,
,,,,,,,3876.0,79.0,activities/2675855419.fit.gz,272.69,275.20000000000005,2.333,0.0,110.0,504455982.0,-999073451.0,2333.0,2019-07-08 21:06:12,0.0,300.0,
,,,,,,,3871.0,80.0,activities/2675855419.fit.gz,291.06,274.20000000000005,2.286,0.0,111.0,504456167.0,-999076096.0,2286.0,2019-07-08 21:06:20,0.0,300.0,
,,,,,,,3858.0,79.0,activities/2675855419.fit.gz,310.51,271.6,2.249,0.0,110.0,504456400.0,-999078889.0,2249.0,2019-07-08 21:06:28,0.0,300.0,
,,,,,,,3860.0,79.0,activities/2675855419.fit.gz,330.49,272.0,2.267,0.0,111.0,504456621.0,-999081773.0,2267.0,2019-07-08 21:06:36,0.0,300.0,
,,,,,,,3870.0,79.0,activities/2675855419.fit.gz,352.44,274.0,2.286,0.0,111.0,504456917.0,-999084936.0,2286.0,2019-07-08 21:06:44,0.0,300.0,
,,,,,,,3873.0,79.0,activities/2675855419.fit.gz,357.53,274.6,2.295,0.0,111.0,504456974.0,-999085670.0,2295.0,2019-07-08 21:06:46,0.0,300.0,
,,,,,,,3877.0,80.0,activities/2675855419.fit.gz,378.19,275.4,2.379,0.0,113.0,504457077.0,-999088678.0,2379.0,2019-07-08 21:06:54,0.0,300.0,
,,,,,,,3878.0,80.0,activities/2675855419.fit.gz,380.49,275.6,2.379,0.0,113.0,504457068.0,-999089011.0,2379.0,2019-07-08 21:06:55,0.0,300.0,
,,,,,,,3871.0,81.0,activities/2675855419.fit.gz,402.49,274.20000000000005,2.361,0.5,112.0,504457009.0,-999092195.0,2361.0,2019-07-08 21:07:03,0.0,300.0,
,,,,,,,3869.0,80.0,activities/2675855419.fit.gz,424.59,273.79999999999995,2.389,0.0,111.0,504457087.0,-999095401.0,2389.0,2019-07-08 21:07:11,0.0,300.0,
,,,,,,,3863.0,79.0,activities/2675855419.fit.gz,441.24,272.6,2.389,0.0,111.0,504457137.0,-999097808.0,2389.0,2019-07-08 21:07:18,0.0,300.0,
,,,,,,,3853.0,79.0,activities/2675855419.fit.gz,459.23,270.6,2.445,0.0,112.0,504457365.0,-999100351.0,2445.0,2019-07-08 21:07:25,0.0,300.0,
,,,,,,,3853.0,79.0,activities/2675855419.fit.gz,461.68,270.6,2.454,0.0,112.0,504457612.0,-999100476.0,2454.0,2019-07-08 21:07:26,0.0,300.0,
,,,,,,,3850.0,79.0,activities/2675855419.fit.gz,470.52,270.0,2.482,0.5,113.0,504458521.0,-999100735.0,2482.0,2019-07-08 21:07:30,0.0,300.0,
,,,,,,,3849.0,78.0,activities/2675855419.fit.gz,472.84,269.79999999999995,2.473,0.5,113.0,504458663.0,-999101012.0,2473.0,2019-07-08 21:07:31,0.0,300.0,
,,,,,,,3842.0,77.0,activities/2675855419.fit.gz,484.69,268.4,2.417,0.0,112.0,504459039.0,-999102656.0,2417.0,2019-07-08 21:07:37,0.0,300.0,
,,,,,,,3836.0,78.0,activities/2675855419.fit.gz,502.42,267.20000000000005,2.333,0.0,110.0,504458977.0,-999105213.0,2333.0,2019-07-08 21:07:45,0.0,300.0,
,,,,,,,3821.0,79.0,activities/2675855419.fit.gz,522.84,264.20000000000005,2.361,0.0,111.0,504459034.0,-999108160.0,2361.0,2019-07-08 21:07:53,0.0,300.0,
,,,,,,,3818.0,79.0,activities/2675855419.fit.gz,525.45,263.6,2.361,0.0,112.0,504458998.0,-999108539.0,2361.0,2019-07-08 21:07:54,0.0,300.0,
,,,,,,,3804.0,80.0,activities/2675855419.fit.gz,544.03,260.79999999999995,2.37,0.0,114.0,504459010.0,-999111217.0,2370.0,2019-07-08 21:08:02,0.0,300.0,
,,,,,,,3803.0,80.0,activities/2675855419.fit.gz,547.13,260.6,2.37,0.0,114.0,504458960.0,-999111666.0,2370.0,2019-07-08 21:08:03,0.0,300.0,
,,,,,,,3801.0,80.0,activities/2675855419.fit.gz,564.08,260.20000000000005,2.379,0.0,114.0,504458892.0,-999114114.0,2379.0,2019-07-08 21:08:09,0.0,300.0,
,,,,,,,3806.0,79.0,activities/2675855419.fit.gz,579.5,261.20000000000005,2.37,0.0,113.0,504458677.0,-999116280.0,2370.0,2019-07-08 21:08:16,0.0,300.0,
,,,,,,,3806.0,78.0,activities/2675855419.fit.gz,595.68,261.20000000000005,2.333,0.5,112.0,504458870.0,-999118610.0,2333.0,2019-07-08 21:08:22,0.0,300.0,
,,,,,,,3798.0,80.0,activities/2675855419.fit.gz,617.98,259.6,2.361,0.0,114.0,504458995.0,-999121831.0,2361.0,2019-07-08 21:08:31,0.0,300.0,
,,,,,,,3792.0,78.0,activities/2675855419.fit.gz,634.32,258.4,2.361,0.0,112.0,504459146.0,-999124185.0,2361.0,2019-07-08 21:08:38,0.0,300.0,
,,,,,,,3790.0,78.0,activities/2675855419.fit.gz,646.85,258.0,2.361,0.5,112.0,504458990.0,-999125963.0,2361.0,2019-07-08 21:08:43,0.0,300.0,
,,,,,,,3790.0,77.0,activities/2675855419.fit.gz,650.65,258.0,2.361,0.5,112.0,504458622.0,-999126197.0,2361.0,2019-07-08 21:08:45,0.0,300.0,
,,,,,,,3793.0,74.0,activities/2675855419.fit.gz,662.39,258.6,2.323,0.5,113.0,504457527.0,-999126666.0,2323.0,2019-07-08 21:08:52,0.0,300.0,
,,,,,,,3794.0,77.0,activities/2675855419.fit.gz,676.46,258.79999999999995,2.389,0.0,112.0,504457549.0,-999128696.0,2389.0,2019-07-08 21:08:58,0.0,300.0,
,,,,,,,3793.0,77.0,activities/2675855419.fit.gz,688.69,258.6,2.249,0.5,113.0,504457489.0,-999130454.0,2249.0,2019-07-08 21:09:04,0.0,300.0,
,,,,,,,3793.0,77.0,activities/2675855419.fit.gz,690.65,258.6,2.221,0.5,113.0,504457510.0,-999130737.0,2221.0,2019-07-08 21:09:05,0.0,300.0,
,,,,,,,3789.0,77.0,activities/2675855419.fit.gz,701.23,257.79999999999995,2.183,0.0,114.0,504457629.0,-999132301.0,2183.0,2019-07-08 21:09:11,0.0,300.0,
,,,,,,,3774.0,77.0,activities/2675855419.fit.gz,720.75,254.79999999999995,2.109,0.5,115.0,504457851.0,-999135112.0,2109.0,2019-07-08 21:09:20,0.0,300.0,
