IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
140734311,ARSON,ARSON OF A VEHICLE,Sunday,08/31/2014,23:50,BAYVIEW,NONE,LOOMIS ST / INDUSTRIAL ST,-122.405646994567,37.7383221869053,"(37.7383221869053, -122.405646994567)",14073431126031
140736317,NON-CRIMINAL,LOST PROPERTY,Sunday,08/31/2014,23:45,MISSION,NONE,400 Block of CASTRO ST,-122.435012093789,37.7617677182954,"(37.7617677182954, -122.435012093789)",14073631771000
146177923,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,23:30,SOUTHERN,NONE,1000 Block of MISSION ST,-122.409795194505,37.7800356268394,"(37.7800356268394, -122.409795194505)",14617792306244
146177531,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,23:30,RICHMOND,NONE,FULTON ST / 26TH AV,-122.485262988324,37.7725176473142,"(37.7725176473142, -122.485262988324)",14617753106244
140734220,NON-CRIMINAL,FOUND PROPERTY,Sunday,08/31/2014,23:23,RICHMOND,NONE,800 Block of LA PLAYA ST,-122.509895418239,37.7723131976814,"(37.7723131976814, -122.509895418239)",14073422072000
140734349,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,08/31/2014,23:13,SOUTHERN,"ARREST, BOOKED",11TH ST / MINNA ST,-122.416578493475,37.773907074489,"(37.773907074489, -122.416578493475)",14073434916010
140734349,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Sunday,08/31/2014,23:13,SOUTHERN,"ARREST, BOOKED",11TH ST / MINNA ST,-122.416578493475,37.773907074489,"(37.773907074489, -122.416578493475)",14073434916662
140734349,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Sunday,08/31/2014,23:13,SOUTHERN,"ARREST, BOOKED",11TH ST / MINNA ST,-122.416578493475,37.773907074489,"(37.773907074489, -122.416578493475)",14073434965050
140738147,OTHER OFFENSES,EVADING A POLICE OFFICER RECKLESSLY,Sunday,08/31/2014,23:00,INGLESIDE,NONE,1400 Block of DOLORES ST,-122.424497944857,37.7466488718366,"(37.7466488718366, -122.424497944857)",14073814727175
140734258,TRESPASS,TRESPASSING,Sunday,08/31/2014,23:00,CENTRAL,"ARREST, CITED",900 Block of MASON ST,-122.410845624227,37.7923158747647,"(37.7923158747647, -122.410845624227)",14073425827195
140738711,VEHICLE THEFT,STOLEN TRUCK,Sunday,08/31/2014,23:00,CENTRAL,NONE,800 Block of POST ST,-122.415821891164,37.7872932910877,"(37.7872932910877, -122.415821891164)",14073871107025
146178410,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,08/31/2014,23:00,CENTRAL,NONE,300 Block of BAY ST,-122.412782236976,37.8056654684523,"(37.8056654684523, -122.412782236976)",14617841006372
140787570,NON-CRIMINAL,LOST PROPERTY,Sunday,08/31/2014,23:00,MISSION,NONE,600 Block of VALENCIA ST,-122.421550176461,37.7621307247611,"(37.7621307247611, -122.421550176461)",14078757071000
140735604,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,08/31/2014,23:00,MISSION,NONE,GUERRERO ST / CESAR CHAVEZ ST,-122.42249041028,37.7480144418715,"(37.7480144418715, -122.42249041028)",14073560407021
140738147,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,08/31/2014,23:00,INGLESIDE,NONE,1400 Block of DOLORES ST,-122.424497944857,37.7466488718366,"(37.7466488718366, -122.424497944857)",14073814707023
140734145,ASSAULT,BATTERY,Sunday,08/31/2014,22:58,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.406539115148,37.7564864109309,"(37.7564864109309, -122.406539115148)",14073414504134
